Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,379957,43366000,30428000,490000,x,x,10538,x,x,#N/A,x,12938000,20568000,2030000,5519000,2311000,3,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,550263,20399000,10885000,791000,367,x,647,143407,13365,#N/A,1700000,9514000,8395000,2466000,24000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,280615,10302000,10302000,784000,x,0,505,x,x,#N/A,x,0,8764000,1514000,24000,0,3,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,471485,18066000,1021000,6000,367,x,142,143407,13365,#N/A,1700000,17045000,0,1021000,0,0,4,#N/A,#N/A,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,95000,85000,85000,0,x,0,0,0,#N/A,x,11000,0,85000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4164000,4532000,x,x,x,0,x,x,#N/A,x,2632000,1036000,476000,0,0,3,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94280,19129000,990000,190000,206,0,71,x,x,#N/A,x,16010000,800000,190000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,94548,17000000,414000,78000,147,x,32,x,x,#N/A,x,16586000,336000,78000,0,0,2,116000,x,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,9206,10090000,10090000,182000,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,0,9908000,182000,0,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,824292,2551000,1587000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,964000,836000,632000,119000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23800000,3882000,582000,x,x,623,x,x,#N/A,x,19918000,60000,3648000,173000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,949000,293000,237000,141012,x,123,x,x,#N/A,x,656000,1000,272000,20000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,8400000,1356000,224000,x,x,472,x,x,#N/A,x,7044000,9000,1310000,36000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0
Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1328000,704000,187000,x,x,16,0,0,#N/A,0,624000,0,662000,42000,0,2,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,206140000,19346000,5309000,x,x,5117,x,4300,#N/A,x,186794000,6211000,10699000,2352000,84000,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15532000,982000,380000,x,x,453,x,x,#N/A,x,14550000,0,982000,0,0,5,x,x,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,14611000,14611000,4372000,x,x,1395,x,4300,#N/A,x,0,6211000,5964000,2352000,84000,4,x,800000,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,35593000,3679000,485000,x,x,471,500,10500,#N/A,49,31914000,0,3679000,0,0,5,x,x,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,108688,12675000,69000,69000,x,x,0,x,x,#N/A,x,12606000,0,69000,0,0,2139,x,x,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120300,6450000,159000,159000,x,x,4,0,0,#N/A,1214,6291000,159000,0,0,0,3,0,0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,229489000,68843000,21660000,x,x,822,x,x,#N/A,x,160646000,57843000,9909000,1092000,0,5,x,x,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,0,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,74200,122000,96000,4000,x,x,15,0,0,#N/A,x,26000,2000,94000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,205094,10669000,2063000,1050000,x,x,x,0,0,#N/A,x,8606000,368000,1695000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,232534.48,44915000,12140000,126000,1147,x,496,1704139,404513,#N/A,66000000000,32775000,9621000,2519000,0,0,4,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,26252000,119000,119000,x,x,91,x,x,#N/A,x,26133000,0,119000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,195883.53,18662000,12021000,7000,1147,x,405,1694960,424140,#N/A,66000000000,6642000,9621000,2400000,0,0,4,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Displacement from Ukraine conflict in Poland,International displacement,POL002,Poland,POL,147500,2694000,2362000,2362000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,332000,2362000,0,0,0,2,#N/A,#N/A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25666000,25666000,34000,x,x,22,x,x,#N/A,x,0,15120000,4970000,5459000,0,1,x,x,2.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6025,5355000,4712000,6401000,5752,x,54,160000,11422,#N/A,x,643000,2356000,2035000,321000,0,4,x,4950000,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",369002,19217000,13183000,5158000,x,x,1833,0,4300,#N/A,5200000,6035000,4223000,4636000,4201000,122000,5,x,800000,1.0,3.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",1600014,91641000,37585000,10683000,x,x,82332,0,0,#N/A,x,54056000,15092000,22493000,0,0,4,x,x,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0
