,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Mixed migration in Djibouti,Mixed Migration,DJI002,Djibouti,DJI,Displacement,1.2,2,Low,Decreasing,Very High,1.3,1.4,1.2,0.8,0.6,1,1.6,2.1,1,Africa,2023-12-29 00:00:00
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,Drought,2.8,3,Medium,Increasing,Very High,2.2,3.2,1.6,3.2,2.4,4,2.6,2.1,3,Africa,2023-12-29 00:00:00
Venezuela displacement in Dominican Republic,Venezuelan refugees ,DOM002,Dominican Republic,DOM,Displacement,1.8,2,Low,Stable,Medium,3.2,4.1,2.7,1.4,1.8,1,1.2,1.4,1,Americas,2023-12-28 00:00:00
Mixed migration flows in Algeria,Mixed Migration,DZA002,Algeria,DZA,Displacement,2.5,3,Medium,Stable,High,3.7,5,2.7,1.7,2.4,1,2.5,2.5,2.5,Africa,2023-11-30 00:00:00
Sahrawi refugees in Algeria,Sahrawi refugees,DZA003,Algeria,DZA,Displacement,2.1,3,Medium,Stable,Medium,1.3,1.1,1.4,2.3,1.6,3,2.3,2.5,2,Africa,2023-11-30 00:00:00
Multiple crises in Algeria,Country level,DZA004,Algeria,DZA,Displacement,2.5,3,Medium,Decreasing,High,3.6,5,2.4,1.8,2.6,1,2.5,2.5,2.5,Africa,2023-11-30 00:00:00
Venezuela displacement in Ecuador,Venezuelan refugees ,ECU002,Ecuador,ECU,Displacement,2.6,3,Medium,Decreasing,Very High,3.3,4.6,2.4,2.35,2.7,2,2.3,2.1,2.5,Americas,2023-12-29 00:00:00
Refugees in Egypt,Refugees crisis,EGY004,Egypt,EGY,"Displacement,Conflict",2.3,3,Medium,Increasing,Very High,3,3.9,2.4,1.85,2.7,1,2.3,2.6,2,Africa,2023-12-31 00:00:00
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,"Socio-political,Displacement",3.6,4,High,Decreasing,High,3.6,3.8,3.5,3.2,3.4,3,4.1,4.1,4,Africa,2023-12-18 00:00:00
Mixed migration flows in Spain,Mixed Migration,ESP002,Spain,ESP,Displacement,1.8,2,Low,Stable,High,3.1,4,2.5,1.05,1.1,1,1.6,1.6,1.5,Europe,2023-11-30 00:00:00
Displacement from Russia-Ukraine conflict in Estonia,Displacement from Russia-Ukraine conflict,EST002,Estonia,EST,"Conflict,Displacement",1.3,2,Low,-,Very High,2.2,3.4,1.4,1.1,1.2,1,0.8,0.6,1,Europe,2023-12-22 00:00:00
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict",4.1,5,Very High,Increasing,Very High,4.3,5,3.8,4,5,3,4.2,3.8,4.5,Africa,2023-12-29 00:00:00
International Displacement,International Displacement,ETH003,Ethiopia,ETH,Displacement,3.3,4,High,Increasing,Medium,3.9,5,3,2.65,3.3,2,3.7,3.8,3.5,Africa,2023-12-29 00:00:00
Northern Ethiopia Conflict,Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict,Displacement",4,4,High,Increasing,High,4.2,2.9,4.7,3.95,4.9,3,3.9,3.8,4,Africa,2023-12-29 00:00:00
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,Drought,3.7,4,High,Increasing,High,3.2,4,2.7,4,5,3,3.7,3.8,3.5,Africa,2023-12-29 00:00:00
Mixed migration flows in Greece,Mixed Migration,GRC002,Greece,GRC,Displacement,2.2,3,Medium,Increasing,High,2.1,0.6,2.7,2.3,1.6,3,2,1.9,2,Europe,2023-12-31 00:00:00
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",3.4,4,High,Stable,High,3.3,4.4,2.5,3.75,4.5,3,3,3,3,Americas,2023-12-28 00:00:00
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event",3.5,4,High,Stable,High,3.3,4.2,2.8,4.1,4.2,4,2.7,2.9,2.5,Americas,2023-12-28 00:00:00
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,"Earthquake,Violence,Socio-political,Other seasonal event",4.2,5,Very High,Decreasing,High,3.7,4,3.6,4.75,4.5,5,3.7,3.3,4,Americas,2023-12-28 00:00:00
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,Earthquake,3,3,Medium,Stable,High,2.6,2.4,2.7,3,3,3,3.2,3.3,3,Americas,2023-11-27 00:00:00
Displacement from Russia-Ukraine conflict in Hungary,Displacement from Russia-Ukraine conflict,HUN002,Hungary,HUN,"Conflict,Displacement",1.3,2,Low,Decreasing,Very High,1.5,1.6,1.4,1.15,1.3,1,1.4,1.2,1.5,Europe,2023-12-22 00:00:00
Papua Conflict,Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence",2.5,3,Medium,Stable,High,2.9,2.1,3.3,1.85,1.7,2,3.1,2.6,3.5,Asia,2023-12-27 00:00:00
Conflict in Jammu and Kashmir,Kashmir conflict ,IND002,India,IND,Socio-political,x,x,x,-,Low,2.9,2,3.3,x,x,x,2.2,2.4,2,Asia,2023-12-31 00:00:00
Afghan Refugees in Iran,Afghan Refugees,IRN004,Iran,IRN,Displacement,3.8,4,High,Increasing,Low,3.6,2.7,4,4.2,4.4,4,3.2,3.7,2.5,Middle east,2023-11-30 00:00:00
Multiple crises in Iraq,Country level,IRQ001,Iraq,IRQ,"Violence,Displacement,Socio-political,Conflict",3.8,4,High,Stable,High,4.1,4.7,3.8,3.55,4.1,3,3.8,3.5,4,Middle east,2023-12-29 00:00:00
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,"Conflict,Socio-political,Violence",3.7,4,High,Decreasing,High,4.1,4.7,3.8,3.5,4,3,3.8,3.5,4,Middle east,2023-12-29 00:00:00
Syrian and Palestinian refugees in iraq,Syrian Refugees,IRQ003,Iraq,IRQ,Displacement,2.5,3,Medium,Stable,High,1.9,1.6,2.1,2.2,2.4,2,3.5,3.5,3.5,Middle east,2023-12-29 00:00:00
Mixed migration flows in Italy,Mixed Migration,ITA002,Italy,ITA,Displacement,2.1,3,Medium,Decreasing,High,3.3,3.9,3,1.5,2,1,2,1.5,2.5,Europe,2023-11-30 00:00:00
Syrian refugees in Jordan,Syrian refugees,JOR002,Jordan,JOR,Displacement,2.9,3,Medium,Decreasing,High,2.8,3,2.7,3.4,3.8,3,2.1,2.7,1.5,Middle east,2023-12-29 00:00:00
Multiple crisis in Kenya ,Country level ,KEN001,Kenya,KEN,"Drought,Displacement",3.5,4,High,Decreasing,High,4.1,4.3,4,3.45,3.9,3,3.2,3.4,3,Africa,2023-12-22 00:00:00
Refugee situation in Kenya,Refugee situation,KEN002,Kenya,KEN,Displacement,3,3,Medium,Stable,High,3,0.8,3.7,3,3,3,3,3.4,2.5,Africa,2023-12-22 00:00:00
Drought in Kenya,Drought,KEN003,Kenya,KEN,Drought,3.4,4,High,Decreasing,High,3.9,4.3,3.7,3.3,3.6,3,3,3.4,2.5,Africa,2023-12-22 00:00:00
2023 Floods in Laos,2023 Floods,LAO003,Laos,LAO,Floods,1.5,2,Low,-,Very High,1.9,3.5,0.7,0.75,0.5,1,2.3,2.9,1.5,Asia,2023-10-30 00:00:00
Syrian refugees in Lebanon,Syrian refugees,LBN002,Lebanon,LBN,Displacement,3.2,4,High,Stable,High,3.8,3.6,3.9,3.3,3.6,3,2.7,2.8,2.5,Middle east,2023-12-17 00:00:00
Socioeconomic crisis in Lebanon,Socioeconomic crisis,LBN004,Lebanon,LBN,"Socio-political,Violence,Tecnological Disaster",3.5,4,High,Stable,High,4,3.6,4.2,3.65,4.3,3,2.9,2.8,3,Middle east,2023-12-17 00:00:00
Complex crisis in Libya,Complex crisis,LBY001,Libya,LBY,"Conflict,Displacement,Socio-political",3.8,4,High,Increasing,Very High,4.6,4.5,4.7,3.2,3.4,3,4,3.4,4.5,Africa,2023-12-31 00:00:00
Mixed migration flows in Libya,Mixed Migration,LBY002,Libya,LBY,Displacement,3.2,4,High,Increasing,Very High,4.4,4.5,4.4,2.05,2.1,2,3.7,3.4,4,Africa,2023-12-31 00:00:00
Storm Daniel and floods in Libya,Storm Daniel and floods,LBY003,Libya,LBY,"Floods,Other seasonal event",3.3,4,High,Stable,Very High,3.3,1.4,3.9,3.1,3.2,3,3.5,3.4,3.5,Africa,2023-12-31 00:00:00
Multiple crises in Sri Lanka,Multiple crises,LKA001,Sri Lanka,LKA,"Socio-political,Food Security,Floods",3.3,4,High,-,Very High,3.8,4.4,3.4,3.85,4.7,3,1.9,2.2,1.5,Asia,2023-12-27 00:00:00
Socio-economic crisis in Sri Lanka,Socio-economic crisis,LKA002,Sri Lanka,LKA,"Socio-political,Food Security",3.1,4,High,Decreasing,High,3.7,4.4,3.3,3.85,4.7,3,1.6,2.2,1,Asia,2023-12-27 00:00:00
2023 Floods and Monsoon Rain,2023 Floods and Monsoon Rain,LKA003,Sri Lanka,LKA,Floods,1.1,2,Low,-,Very High,1.1,1.1,1.1,0.65,0.3,1,1.9,2.2,1.5,Asia,2023-12-27 00:00:00
Displacement from Russia-Ukraine conflict in Lithuania,Displacement from Russia-Ukraine conflict,LTU002,Lithuania,LTU,"Conflict,Displacement",1.3,2,Low,-,Very High,2.3,3.7,1.4,1.1,1.2,1,0.9,0.7,1,Europe,2023-12-22 00:00:00
Displacement from Russia-Ukraine conflict in Latvia,Displacement from Russia-Ukraine conflict,LVA002,Latvia,LVA,"Conflict,Displacement",1.3,2,Low,-,Very High,2.2,3.5,1.4,1.05,1.1,1,1,1,1,Europe,2023-12-22 00:00:00
Multiple crises in Morocco,Multiple crises,MAR001,Morocco,MAR,"Displacement,Earthquake",3,3,Medium,Increasing,High,4.2,4.9,3.7,2.45,2.9,2,2.8,3.4,2,Africa,2023-11-30 00:00:00
Mixed migration flows in Morocco,Mixed Migration,MAR002,Morocco,MAR,Displacement,2.2,3,Medium,Stable,High,3.5,4.9,2.3,0.75,0.5,1,3,3.4,2.5,Africa,2023-11-30 00:00:00
Al Haouz Earthquake in Morocco,Al Haouz Earthquake,MAR003,Morocco,MAR,Earthquake,2.9,3,Medium,Increasing,High,3.4,1.7,4,2.9,2.8,3,2.6,3.4,1.5,Africa,2023-11-30 00:00:00
DIsplacement from Russia-Ukraine conflict in Moldova,Displacement from Russia-Ukraine conflict,MDA002,Moldova,MDA,"Displacement,Conflict",1.6,2,Low,Decreasing,Very High,2.3,3.5,1.6,1.4,1.8,1,1.4,1.8,1,Europe,2023-12-22 00:00:00
Multiple crisis in Madagascar,Country level,MDG001,Madagascar,MDG,"Drought,Cyclone",2.9,3,Medium,Increasing,Very High,3.1,2.6,3.3,3.45,3.9,3,1.8,2,1.5,Africa,2023-12-29 00:00:00
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,Drought,2.5,3,Medium,Stable,Very High,2.2,2.1,2.2,3.25,3.5,3,1.5,2,1,Africa,2023-12-29 00:00:00
Tropical cyclone Freddy in Madagascar,Tropical cyclone Freddy,MDG008,Madagascar,MDG,Cyclone,2.7,3,Medium,Decreasing,Very High,3.1,2.6,3.3,3.15,3.3,3,1.8,2,1.5,Africa,2023-12-29 00:00:00
Multiple crisis in Mexico,Country Level,MEX001,Mexico,MEX,"Violence,Displacement",3,3,Medium,Increasing,High,4.1,5,3.5,1.4,1.8,1,3.9,3,4.5,Americas,2023-12-28 00:00:00
Criminal Violence in Mexico,Criminal Violence,MEX002,Mexico,MEX,"Violence,Displacement",x,x,x,-,Medium,4.1,5,3.4,x,x,x,3.5,3,4,Americas,2023-12-28 00:00:00
Mixed Migration in Mexico,Mixed Migration,MEX003,Mexico,MEX,Displacement,2.5,3,Medium,Stable,High,3.4,3.8,3.1,1.4,1.8,1,3.3,3,3.5,Americas,2023-12-28 00:00:00
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,Conflict,4.3,5,Very High,Stable,High,4.5,4.9,4.3,4.45,4.9,4,3.9,3.2,4.5,Africa,2023-12-26 00:00:00
Multiple crises in Myanmar,Country level,MMR001,Myanmar,MMR,"Socio-political,Conflict,Violence",4.6,5,Very High,Stable,Very High,4.8,4.9,4.7,4.5,5,4,4.5,3.9,5,Asia,2023-12-27 00:00:00
Rakhine Conflict,Rakhine conflict,MMR002,Myanmar,MMR,Conflict,3.9,4,High,Increasing,Very High,3.4,1.2,4.1,3.85,3.7,4,4.2,3.9,4.5,Asia,2023-12-27 00:00:00
Kachin and Shan Conflict,Kachin and Shan conflict,MMR003,Myanmar,MMR,Conflict,3.7,4,High,Increasing,Very High,3.4,1.9,4,3.8,3.6,4,3.7,3.9,3.5,Asia,2023-12-27 00:00:00
Post-coup conflict in Myanmar,Post-coup conflict,MMR004,Myanmar,MMR,"Violence,Socio-political,Conflict",4.4,5,Very High,Stable,Very High,4.6,4.4,4.7,4.5,5,4,4,3.9,4,Asia,2023-12-27 00:00:00
Cyclone Mocha in Myanmar,Cyclone Mocha,MMR005,Myanmar,MMR,"Cyclone,Floods",2.8,3,Medium,Stable,High,2.7,2.4,2.9,1.9,2.8,1,4.2,3.9,4.5,Asia,2023-12-27 00:00:00
Multiple Crises in Mozambique,Multiple Crises,MOZ001,Mozambique,MOZ,"Conflict,Displacement,Cyclone",3.6,4,High,Increasing,Very High,3.9,5,3,3.5,4,3,3.5,3.4,3.5,Africa,2023-12-29 00:00:00
Cabo Delgado Islamist Insurgency,Violent Insurgency in Cabo Delgado,MOZ004,Mozambique,MOZ,"Conflict,Displacement",3.5,4,High,Increasing,High,3.6,2.8,3.9,3.4,3.8,3,3.5,3.4,3.5,Africa,2023-12-29 00:00:00
Tropical Cyclone Freddy in Mozambique,Tropical Cyclone Freddy,MOZ010,Mozambique,MOZ,Cyclone,2.6,3,Medium,Increasing,Very High,2.9,3.8,2.4,1.95,2.9,1,3.2,3.4,3,Africa,2023-12-29 00:00:00
Refugees from Mali in Mauritania,Malian refugees,MRT002,Mauritania,MRT,Displacement,1.9,2,Low,Decreasing,Very High,3,3.1,2.9,1.1,0.2,2,1.9,2.3,1.5,Africa,2023-11-30 00:00:00
Food Security in Mauritania,Food security,MRT003,Mauritania,MRT,"Drought,Floods",2.6,3,Medium,Stable,High,2.5,4.1,1.3,2.9,2.8,3,2.2,2.3,2,Africa,2023-11-30 00:00:00
Complex crisis in Malawi,Complex,MWI002,Malawi,MWI,"Drought,Socio-political,Cyclone",3.4,4,High,Increasing,Very High,3.9,4.3,3.6,3.7,4.4,3,2.5,2.4,2.5,Africa,2023-12-29 00:00:00
Tropical Cyclone Freddy in Malawi,Tropical Cyclone Freddy,MWI005,Malawi,MWI,Cyclone,3,3,Medium,Stable,Very High,3.3,2.2,3.7,3.35,3.7,3,2.2,2.4,2,Africa,2023-12-29 00:00:00
International Refugees in Malaysia,International Refugees,MYS001,Malaysia,MYS,Displacement,2.3,3,Medium,Stable,High,2.8,1.7,3.3,2.05,2.1,2,2.1,1.7,2.5,Asia,2023-12-27 00:00:00
Food Security Crisis in Namibia,Food Security Crisis,NAM002,Namibia,NAM,Drought,2.5,3,Medium,Stable,Medium,2.8,4.3,1.7,3.05,3.1,3,1.3,1.5,1,Africa,2023-12-29 00:00:00
Multiple crises in Niger,Country level,NER001,Niger,NER,"Conflict,Displacement",3.7,4,High,Decreasing,Very High,3.6,3.7,3.6,4.1,4.2,4,3.1,2.7,3.5,Africa,2023-12-26 00:00:00
Lake Chad basin crisis in Niger,Lake Chad basin crisis,NER002,Niger,NER,Conflict,3.1,4,High,Stable,Very High,2.3,1.2,2.8,3.45,2.9,4,3.1,2.7,3.5,Africa,2023-12-26 00:00:00
Mali/Burkina Faso conflict,Cross-border violence ,NER003,Niger,NER,Conflict,3.5,4,High,Stable,Very High,3.2,2.6,3.4,3.85,3.7,4,3.1,2.7,3.5,Africa,2023-12-26 00:00:00
Nigerian Refugees,Nigerian Refugees,NER004,Niger,NER,Displacement,2.6,3,Medium,Stable,Very High,1.7,1.6,1.8,3.1,3.2,3,2.4,2.7,2,Africa,2023-12-26 00:00:00
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,"Conflict,Displacement,Violence",3.9,4,High,Decreasing,High,4.1,4.8,3.6,4,5,3,3.7,3.4,4,Africa,2023-12-22 00:00:00
Middle belt conflict,Middle Belt,NGA003,Nigeria,NGA,Violence,3.4,4,High,Stable,Medium,3,2.2,3.3,3.5,4,3,3.5,3.4,3.5,Africa,2023-12-22 00:00:00
Lake Chad basin crisis in Nigeria,Lake Chad basin crisis,NGA004,Nigeria,NGA,"Conflict,Displacement",4.2,5,Very High,Decreasing,Medium,4.2,2.2,4.8,4.45,4.9,4,3.7,3.4,4,Africa,2023-12-22 00:00:00
Northwest Banditry,Northwest Banditry,NGA007,Nigeria,NGA,"Violence,Displacement",3.7,4,High,Stable,Medium,3.2,2.8,3.4,3.9,4.8,3,3.7,3.4,4,Africa,2023-12-22 00:00:00
Cameroonian Refugees in Nigeria,Cameroonian Refugees,NGA008,Nigeria,NGA,Displacement,2,2,Low,Decreasing,High,2.3,2,2.5,1.3,1.6,1,2.8,3.4,2,Africa,2023-12-22 00:00:00
Socioeconomic crisis in Nicaragua,Socioeconomic crisis,NIC001,Nicaragua,NIC,Socio-political,1.7,2,Low,Decreasing,High,2.9,4.1,2,0.5,0,1,2.3,2.6,2,Americas,2023-12-28 00:00:00
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,"Displacement,Conflict",3.9,4,High,Stable,High,3.9,5,3.1,4,5,3,3.9,3.2,4.5,Asia,2023-12-31 00:00:00
Kashmir conflict in Pakistan,Kashmir conflict,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Low,0.9,1,0.9,x,x,x,3.4,3.2,3.5,Asia,2023-12-31 00:00:00
Floods in Pakistan ,Monsoon floods 2022,PAK005,Pakistan,PAK,Other seasonal event,3.7,4,High,Increasing,High,4,3.8,4.1,4,5,3,2.9,3.2,2.5,Asia,2023-12-31 00:00:00
Venezuela displacement in Panama,Venezuelan refugees,PAN002,Panama,PAN,Displacement,2,2,Low,Decreasing,High,2.5,2.5,2.5,1.95,0.9,3,1.7,1.4,2,Americas,2023-12-28 00:00:00
Venezuela displacement in Peru,Venezuelan refugees,PER002,Peru,PER,Displacement,2.9,3,Medium,Stable,Very High,3.4,4,3,2.7,3.4,2,2.7,2.3,3,Americas,2023-11-30 00:00:00
Mindanao conflict,Mindanao Conflict,PHL003,Philippines,PHL,"Conflict,Violence",2.2,3,Medium,Increasing,High,2.8,2.7,2.8,1.45,1.9,1,2.7,2.8,2.5,Asia,2023-12-27 00:00:00
Multiple crises in Papua New Guinea,Country level,PNG001,Papua New Guinea,PNG,0,2.3,3,Medium,-,High,2.7,2.8,2.7,1.7,2.4,1,2.9,2.7,3,Pacific,2023-12-27 00:00:00
Highlands Violence,Highlands Violence,PNG003,Papua New Guinea,PNG,Earthquake,2.6,3,Medium,Increasing,Very High,2.3,1.9,2.5,2.7,2.4,3,2.6,2.7,2.5,Pacific,2023-12-27 00:00:00
2023 Ulawun Volcano Eruption in Papua New Guinea,2023 Ulawun Volcano Eruption,PNG004,Papua New Guinea,PNG,Volcano Eruption,1.4,2,Low,-,Very High,1.3,1.4,1.2,0.85,0.7,1,2.4,2.7,2,Pacific,2023-12-11 00:00:00
Displacement from Russia-Ukraine conflict in Poland,Displacement from Russia-Ukraine conflict,POL002,Poland,POL,"Displacement,Conflict",2.1,3,Medium,Decreasing,Very High,3.4,4.8,2.3,2.15,3.3,1,0.9,0.8,1,Europe,2023-12-22 00:00:00
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.7,4,High,Stable,Medium,3.9,4.6,3.5,4.5,5,4,2.4,2.7,2,Asia,2023-12-31 00:00:00
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence",4.4,5,Very High,Increasing,Very High,4.3,3.5,4.6,4.6,4.2,5,4.1,2.5,5,Middle east,2023-12-31 00:00:00
