Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,6335679,120707000,3581000,991000,836,x,186,301738,7542,#N/A,1900000000,117126000,1987000,1595000,x,x,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,4494716,105883000,583000,568000,30,x,3,x,x,#N/A,x,105300000,11000,572000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,1559256,3941000,600000,x,x,x,x,x,x,#N/A,x,3341000,0,600000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Floods in Rio Grande do Sul,Floods,BRA005,Brazil,BRA,281707,10883000,2398000,423000,806,x,183,301738,7542,#N/A,1900000000,8485000,1976000,423000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,622980,6100000,5118000,1117000,1,x,452,x,x,#N/A,x,982000,2318000,2279000,521000,0,4,x,x,1.0,3.0,1.0,3.0,0.0,2.0,3.0,1.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19630000,13131000,498000,x,x,2,x,x,#N/A,x,6498000,12853000,278000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,475440,23123000,3380000,2164000,150,x,1063,x,x,#N/A,x,19743000,0,2247000,1133000,0,4,x,x,1.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,34513,5179000,1185000,785000,x,x,486,x,x,#N/A,5.2,3994000,0,379000,805000,0,3,x,x,0.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,3.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,88019,12662000,1820000,1080000,x,x,563,x,x,#N/A,x,10842000,0,1492000,328000,0,4,x,377500,1.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,231318,5282000,376000,298000,0,x,12,0,0,#N/A,x,4906000,0,376000,0,0,3,x,x,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,2344860,113600000,25400000,10329000,1,x,2191,x,x,#N/A,1700,88200000,0,10414000,10414000,4572000,4,x,x,0.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
Complex crisis in Congo,Conflict,COG001,Congo,COG,342000,5970000,525000,231000,x,x,1,x,x,#N/A,x,5445000,0,525000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1109500,52700000,20176000,6922000,x,x,803,x,x,#N/A,x,32524000,9776000,6080000,3800000,520000,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,34507,31005000,14976000,3850000,x,x,4,x,x,#N/A,x,16028000,12876000,1155000,840000,105000,3,x,x,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1003,2451000,235000,235000,x,x,100,x,x,#N/A,x,2215000,0,235000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,77187,11043000,371000,371000,x,x,0,0,0,#N/A,x,10672000,0,371000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,23180,1182000,792000,32000,x,x,43,x,x,#N/A,x,390000,475000,264000,53000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,7300,676000,32000,32000,x,x,43,x,x,#N/A,x,644000,0,32000,x,x,1,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1182000,760000,0,x,x,0,x,x,#N/A,x,422000,475000,232000,53000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,48310,11229000,124000,124000,x,x,x,x,x,#N/A,x,11105000,7000,117000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,2381741,46945000,261000,261000,x,x,914,x,x,#N/A,x,46684000,0,261000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,13,x,x,#N/A,x,49000,0,174000,x,x,2,0,0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,2381741,46945000,435000,435000,x,x,927,x,x,#N/A,x,46510000,0,435000,x,x,3,x,x,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,248360,18190000,7592000,445000,x,x,0,x,x,#N/A,x,10599000,6862000,730000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,91071.77,116932000,761000,761000,x,x,4,x,x,#N/A,x,116171000,0,761000,x,x,2,x,x,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,121041,3749000,1100000,673000,0,x,0,x,x,#N/A,x,2649000,0,1100000,x,x,5,x,x,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,100000,47906000,98000,98000,x,x,75,x,x,#N/A,x,47808000,0,98000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,42750,1385000,36000,36000,x,x,0,0,0,#N/A,x,1349000,0,36000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,1129935,132760000,132760000,5567000,x,22889,5188,x,x,#N/A,4500000,0,111400000,9874000,11486000,0,4,x,10000,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
International Displacement,Displacement,ETH003,Ethiopia,ETH,1128571,96624000,1067000,1067000,x,x,x,x,x,#N/A,x,95557000,0,1067000,x,x,2,0,0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,303528,30649000,30649000,2851000,x,506558,3166,#N/A,#N/A,#N/A,#N/A,0,21546000,3482000,5621000,x,4,0,210000,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,1000676,94624000,94624000,789000,x,22889,24,x,x,#N/A,6850000,0,75118000,8083000,11423000,0,4,x,x,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,9776,650000,187000,187000,0,x,13,x,x,#N/A,x,463000,0,187000,x,x,1,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,107160,17600000,9856000,242000,x,14299,78,x,x,#N/A,x,7744000,4556000,4948000,352000,0,5,x,x,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,111890,9745000,5533000,10000,x,x,225,x,x,#N/A,x,4212000,2733000,1428000,1372000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,27560,11700000,8658000,578000,x,x,531,x,x,#N/A,x,3042000,3158000,3855000,1645000,0,5,x,x,1.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,93013,9706000,62000,62000,x,x,0,0,0,#N/A,x,9643000,0,62000,0,0,2,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papua Conflict,"Socio-political,Violence,Conflict",IDN002,Indonesia,IDN,412214,5602000,5602000,100000,x,x,50,x,x,#N/A,x,0,5502000,100000,x,x,4,x,x,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0
2024 Monsoon Floods in India,Floods,IND006,India,IND,47040,17293000,1040000,79000,9,x,105,53195,9608,#N/A,x,16253000,961000,79000,x,x,4,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,239561,24823000,4477000,4477000,x,x,x,x,x,#N/A,x,20346000,0,1377000,3100000,0,2,x,x,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,383310,44990000,7460000,6249000,x,x,464,x,x,#N/A,133900,37529000,7335000,93000,33000,0,4,1500000,300000,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,383310,44691000,5950000,5950000,x,x,464,x,x,#N/A,133900,38740000,5861000,60000,30000,0,2,1500000,300000,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,36000,6470000,1510000,299000,x,x,0,x,0,#N/A,x,4960000,1474000,33000,3000,0,2,x,0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,41055,59300000,204000,204000,x,x,839,x,0,#N/A,x,59096000,0,204000,x,x,3,x,x,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,40463,9280000,1840000,1320000,x,x,0,x,x,#N/A,x,7440000,488000,1325000,26000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,543630,30133000,29574000,1126000,x,873091,664,0,0,#N/A,0,559000,27841000,1691000,43000,0,3,0,0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,38244,1355000,796000,796000,0,940000,0,0,0,#N/A,0,559000,0,796000,x,x,2,0,x,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0
Drought in Kenya,Drought,KEN003,Kenya,KEN,543630,28778000,28778000,330000,x,873091,315,0,0,#N/A,0,0,27841000,895000,43000,0,3,0,0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0
Typhoon Yagi in Laos,"Cyclone,Floods",LAO004,Laos,LAO,99096,3181000,200000,x,x,x,4,121,0,#N/A,x,2981000,108000,92000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,10450,5700000,5700000,1520000,x,0,0,x,x,#N/A,x,0,4180000,1480000,41000,0,2,x,x,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0
Complex crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster,Displacement",LBN006,Lebanon,LBN,10450,5700000,5700000,202000,3112,x,381,20000,4000,#N/A,x,0,1800000,3427000,473000,x,3,150000,x,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,1759540,7397000,7397000,876000,x,x,882,x,x,#N/A,x,0,6232000,292000,873000,0,5,x,x,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,1759540,7397000,828000,828000,x,x,839,x,x,#N/A,x,6569000,0,828000,x,x,4,79000,229000,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,67827,2010000,884000,45000,x,x,0,2217,1127,#N/A,x,1126000,0,884000,0,0,5,x,x,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0
Refugees from Sudan in Libya,Conflict,LBY004,Libya,LBY,868682,2955000,195000,195000,x,x,10,x,x,#N/A,x,2760000,0,85000,110000,x,2,x,x,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0
2024 Floods and Monsoon Rain,Floods,LKA004,Sri Lanka,LKA,12966,10201000,254000,0,32,x,33,16120,243,#N/A,x,9947000,177000,77000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Food security crisis in Lesotho,Drought,LSO004,Lesotho,LSO,30355,1505000,840000,x,x,x,1,x,x,#N/A,x,665000,547000,293000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,62610,2877000,45000,45000,x,x,0,0,0,#N/A,x,2832000,0,45000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,62230,1926000,47000,47000,x,x,0,0,0,#N/A,x,1879000,0,47000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,446300,38155000,2818000,518000,5500,x,80,40579,19095,#N/A,x,35337000,2300000,518000,x,x,2,x,x,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,446300,38155000,18000,18000,x,x,75,0,0,#N/A,0,38137000,0,18000,x,x,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,53316,6600000,2800000,500000,5500,x,0,40579,19095,#N/A,x,3800000,2300000,500000,x,x,2,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,32970,2662000,123000,123000,x,x,0,0,0,#N/A,x,2539000,0,123000,0,0,2,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,238400,14934000,6670000,31000,4,226651,19,27548,11238,#N/A,481,8264000,5283000,1388000,0,0,5,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,10270000,6135000,8000,x,196451,x,x,x,#N/A,x,4134000,4916000,1220000,0,0,1,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cyclone Gamane in Madagascar,"Cyclone,Floods",MDG009,Madagascar,MDG,88648,4665000,535000,23000,4,x,19,938,x,#N/A,x,4130000,367000,168000,x,x,5,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,1943950,128456000,614000,531000,x,x,3864,x,x,#N/A,x,127841000,472000,142000,x,x,5,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,1943950,70531000,386000,392000,x,x,3774,x,x,#N/A,x,70145000,386000,x,x,x,5,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,1159951,57925000,228000,139000,x,x,90,x,x,#N/A,x,57696000,93000,142000,x,x,3,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,1240190,22395000,7100000,1679000,2,44056,2200,x,1,#N/A,x,15295000,0,5467000,1491000,142000,5,x,x,0.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,676577,55960000,55960000,5275000,x,x,9596,65000,x,#N/A,x,0,37294000,13553000,5113000,x,5,x,x,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,36778,3472000,3472000,1307000,x,x,2823,x,x,#N/A,x,0,1794000,436000,1242000,x,5,x,x,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,149601,4873000,4873000,234000,x,x,1265,x,x,#N/A,x,0,3065000,1429000,379000,x,4,x,x,2.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,676577,55960000,55960000,3304000,x,x,5206,x,x,#N/A,x,0,40855000,11613000,3492000,x,5,x,x,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
2024 Monsoon Floods,Floods,MMR006,Myanmar,MMR,640558,7100000,1280000,430000,100,x,302,65000,x,#N/A,x,5820000,1205000,75000,x,x,4,x,x,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,786380,34838000,34838000,836000,202,3342,323,6661,1773,#N/A,x,0,29284000,3876000,1678000,0,4,x,x,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,280615,11584000,11584000,710000,x,x,177,x,x,#N/A,x,0,9884000,540000,1160000,x,3,x,x,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
2024 Rainy and Cyclone season,"Floods,Displacement,Cyclone",MOZ011,Mozambique,MOZ,786380,34838000,34838000,126000,202,x,146,6661,1773,#N/A,x,0,34284000,546000,8000,x,3,x,x,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
Drought in Mozambique,Drought,MOZ012,Mozambique,MOZ,477989.66,17954000,17954000,0,x,3342,x,x,x,#N/A,x,0,14654000,2790000,510000,0,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,206000,2024000,137000,137000,0,x,6,0,0,#N/A,x,1887000,0,137000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,1030700,4582000,1388000,x,x,136000,6,x,x,#N/A,x,3194000,1023000,358000,7000,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,94080,21770000,9000000,115000,x,246,1774,260681,120394,#N/A,507,12770000,0,8944000,56000,0,3,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,9206,11231000,11231000,190000,x,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,11041000,190000,x,x,2,#N/A,#N/A,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,823290,3022000,1911000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1111000,766000,1057000,88000,0,1,#N/A,#N/A,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,156906,840000,820000,335000,141012,x,118,x,x,#N/A,x,20000,0,532000,288000,0,4,x,x,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0
