Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Complex crisis in Venezuela,VEN001,Venezuela,Buildings damaged,x,,x,x,,People reportedly abandoning their houses + basic services infrastructures stopping working,VEN001Buildings damaged,2019-01-29,Humanitarian development
Complex crisis in Venezuela,VEN001,Venezuela,Buildings destroyed,x,,x,x,,,VEN001Buildings destroyed,2019-01-29,Humanitarian development
Complex crisis in Venezuela,VEN001,Venezuela,Economic Losses,223750,IMF Accessed 25/01/2019,High,1,https://www.imf.org/external/datamapper/PPPGDP@WEO/OEMDC/ADVEC/WEOWORLD/VEN,Substraction from pre-crisis GDP in 2014 (543 and forecasted 2018 GDP (320.140 billion dollars),VEN001Economic Losses,2019-01-29,Humanitarian development
Complex crisis in Venezuela,VEN001,Venezuela,Injuries reported,x,,x,x,,"Injuries during protests or from police and military brutality are likely to occur, but lack of data to give a real estimation",VEN001Injuries reported,2019-01-29,Humanitarian development
Complex crisis in Venezuela,VEN001,Venezuela,People facing restricted access constraints,x,,x,x,,,VEN001People facing restricted access constraints,2019-01-29,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Buildings damaged,x,,x,x,,,AFG001Buildings damaged,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Economic Losses,13114,"Economic Institute of Peace, World Bank",Medium,2,"http://visionofhumanity.org/app/uploads/2018/11/Economic-Value-of-Peace-2018.pdf, https://data.worldbank.org/indicator/NY.GDP.MKTP.CD","Based on Economic Insitute of Peace estimates the economic costs due to conflict in Afghanistan at 63% of the GDP (2017), subsequent calculation based on 2017 World Bank figures. This does not include any estimations for economic losses due to the drought.",AFG001Economic Losses,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Illness cases reported,x,,x,x,,,AFG001Illness cases reported,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing limited access constraints,x,,x,x,,,AFG001People facing limited access constraints,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing restricted access constraints,x,,x,x,,,AFG001People facing restricted access constraints,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Buildings damaged,0,,Medium,2,,No damages related to the crisis,LSO002Buildings damaged,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Buildings destroyed,0,,Medium,2,,No damages related to the crisis,LSO002Buildings destroyed,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Economic Losses,x,,Medium,2,,No data available,LSO002Economic Losses,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Illness cases reported,0,,Medium,2,,No cases of illness directly related to the crisis,LSO002Illness cases reported,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Injuries reported,0,,Medium,2,,No cases of injuries directly related to the crisis,LSO002Injuries reported,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,People facing limited access constraints,0,,Medium,2,,There are no access constraints observed,LSO002People facing limited access constraints,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,People facing restricted access constraints,0,,Medium,2,,There are no access constraints observed,LSO002People facing restricted access constraints,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,Crisis affected groups,5,,High,1,,Every kind of group is affected by this crisis as it covers the entire country and those displaced by it.,SYR001Crisis affected groups,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,Illness cases reported,x,x,x,x,,"There are too many illnesses in Syria, which are reported very sporadically to be able to adequately captured here.",SYR001Illness cases reported,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,People facing limited access constraints,x,,x,x,,"This number is not known though it should not be assumed that most of the populaytion outside of hard to reach areas are not also affected by strong access constraints - espeacially in areas with ongoing conflict, and when considering that the Israeli, Turkish, Lebanese and Jordanian borders are closed.",SYR001People facing limited access constraints,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,People facing restricted access constraints,1160000,OCHA,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/acc-11_syr_overview_of_hard_to_reach_areas_20181029.pdf,"This number represents the number of people that are hard to reach as defined by OCHA. This definition is ""An area that is not regularly accessible to humanitarian actors for the purposes of sustained humanitarian programming as a result of denial of access,including the need to negotiate access on an ad hoc basis,or due to restrictions such as active conflict,multiple security checkpoints,or failure of the a uthorities to provide timely approval"" . It is a groslly conservative estimate at best",SYR001People facing restricted access constraints,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Buildings damaged,x,,x,x,,,TZA002Buildings damaged,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Buildings destroyed,x,,x,x,,,TZA002Buildings destroyed,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Economic Losses,x,,x,x,,,TZA002Economic Losses,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Illness cases reported,x,,x,x,,,TZA002Illness cases reported,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,People facing limited access constraints,x,,x,x,,,TZA002People facing limited access constraints,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,People facing restricted access constraints,x,,x,x,,,TZA002People facing restricted access constraints,2019-01-30,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Buildings damaged,x,,x,x,,,SOM001Buildings damaged,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Buildings destroyed,x,,x,x,,,SOM001Buildings destroyed,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Crisis affected groups,5,,High,1,,,SOM001Crisis affected groups,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,People facing limited access constraints,x,,x,x,,,SOM001People facing limited access constraints,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,People facing restricted access constraints,x,,x,x,,,SOM001People facing restricted access constraints,2019-01-31,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Buildings damaged,x,,x,x,,,GRC002Buildings damaged,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Buildings destroyed,x,,x,x,,,GRC002Buildings destroyed,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Crisis affected groups,2,,Medium,2,,"AS + Refs, Host population",GRC002Crisis affected groups,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Economic Losses,x,,x,x,,,GRC002Economic Losses,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Illness cases reported,x,,x,x,,,GRC002Illness cases reported,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,People facing limited access constraints,x,,x,x,,,GRC002People facing limited access constraints,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,People facing restricted access constraints,x,,x,x,,,GRC002People facing restricted access constraints,2019-02-05,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,Economic Losses,x,,x,x,,,ZWE001Economic Losses,2019-02-06,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing limited access constraints,x,,x,x,,,ZWE001People facing limited access constraints,2019-02-06,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing restricted access constraints,x,,x,x,,,ZWE001People facing restricted access constraints,2019-02-06,Humanitarian development
Rohingya refugee crisis,BGD002,Bangladesh,People facing limited access constraints,0,,Medium,2,,There is no indication that there are direct access constraints.,BGD002People facing limited access constraints,2019-02-07,Humanitarian development
Rohingya refugee crisis,BGD002,Bangladesh,People facing restricted access constraints,0,Acaps Access Map,Medium,2,,There is no indication that there are direct access constraints.,BGD002People facing restricted access constraints,2019-02-07,Humanitarian development
Syrian refugees in Jordan,JOR002,Jordan,People facing limited access constraints,x,,x,x,,No available data,JOR002People facing limited access constraints,2019-02-07,Humanitarian development
Syrian refugees in Jordan,JOR002,Jordan,People facing restricted access constraints,x,,x,x,,No available data,JOR002People facing restricted access constraints,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Buildings damaged,x,,x,x,,No data available,LBY001Buildings damaged,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Buildings destroyed,x,,x,x,,No data available,LBY001Buildings destroyed,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Economic Losses,x,,x,x,,No data available,LBY001Economic Losses,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Illness cases reported,x,,x,x,,No data available,LBY001Illness cases reported,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Buildings damaged,x,,x,x,,No data available,LBY002Buildings damaged,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Buildings destroyed,x,,x,x,,No data available,LBY002Buildings destroyed,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Economic Losses,x,,x,x,,No data available,LBY002Economic Losses,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Illness cases reported,x,,x,x,,No data available,LBY002Illness cases reported,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Injuries reported,x,,x,x,,No data available,LBY002Injuries reported,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Buildings damaged,x,x,x,x,x,No data on crisis related damages,PAK001Buildings damaged,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Buildings destroyed,x,x,x,x,x,No data on crisis related damages,PAK001Buildings destroyed,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Crisis affected groups,5,UNICEF 01/2019,High,1,,"Returnees, IDPs, Afghan refugees, host and non-host",PAK001Crisis affected groups,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Economic Losses,x,TheNews 05/26/2017,x,x,https://www.acleddata.com/,"In fiscal year 2017, $3.88 billion (Rs407.2 billion) losses to economy were recorded. There is no updated sources for 2018.",PAK001Economic Losses,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Buildings damaged,160000,Shelter cluster Nov 2018,Medium,2,"https://www.ochaopt.org/reports/protection-of-civilians,","The number of houses that experienced minro, major and severe damage during 2014 war.",PSE002Buildings damaged,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Buildings destroyed,11422,Shelter cluster Nov 2018,Medium,2,https://www.sheltercluster.org/sites/default/files/docs/one_page_factsheet_nov_2018_0.pdf,"The total of houses destroyed in Gaza by the 2014 war, as well as housing demolitions in the West Bank and East Jerusalem as of November 2018.",PSE002Buildings destroyed,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Crisis affected groups,4,,Medium,2,,"There are IDP's, refugees, host and non-host groups in Gaza, the West Bank and East Jerusalem.",PSE002Crisis affected groups,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Illness cases reported,x,,x,x,,A total of the number of Palestinian injuries resulting directly from conflict between June and December 2018.,PSE002Illness cases reported,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,People facing limited access constraints,x,,x,x,,,PSE002People facing limited access constraints,2019-02-07,Humanitarian development
Syrian Refugee Crisis in Egypt,EGY002,Egypt,People facing limited access constraints,x,,x,x,,,EGY002People facing limited access constraints,2019-02-11,Humanitarian development
Syrian Refugee Crisis in Egypt,EGY002,Egypt,People facing restricted access constraints,x,,x,x,,,EGY002People facing restricted access constraints,2019-02-11,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Buildings damaged,x,,x,x,,No information currently available,CAF001Buildings damaged,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Buildings destroyed,x,,x,x,,No information currently available,CAF001Buildings destroyed,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Economic Losses,x,,x,x,,No information currently available,CAF001Economic Losses,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Injuries reported,x,,x,x,,No information currently available,CAF001Injuries reported,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Landmass affected,623000,WB 2017,High,1,https://databank.worldbank.org/data/views/reports/reportwidget.aspx?Report_Name=CountryProfile&Id=b450fd57&tbar=y&dd=y&inf=n&zm=n&country=CAF,The entire national territory is affected by the complex crisis,CAF001Landmass affected,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,People facing limited access constraints,x,,x,x,,No information currently available,CAF001People facing limited access constraints,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,People facing restricted access constraints,x,,x,x,,No information currently available,CAF001People facing restricted access constraints,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Buildings damaged,x,,x,x,,No information currently available,NER001Buildings damaged,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Buildings destroyed,x,,x,x,,No information currently available,NER001Buildings destroyed,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Crisis affected groups,5,OCHA 01/2019,High,1,https://reliefweb.int/sites/reliefweb.int/files/resources/ner_hno_2019.pdf,"Refugees, returnees, IDPs, host and non host populations affected by the conflict",NER001Crisis affected groups,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Economic Losses,x,,x,x,,No information currently available,NER001Economic Losses,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Illness cases reported,x,,x,x,,No information currently available,NER001Illness cases reported,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Injuries reported,x,,x,x,,No information currently available,NER001Injuries reported,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Landmass affected,1267000,Government of Niger 2016,High,1,http://www.stat-niger.org/statistique/file/DSEDS/TBS_2016.pdf,"The whole country shows protection, food, and/or WASH need even outside of the two identified crisis",NER001Landmass affected,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,People facing limited access constraints,x,,x,x,,No information currently available,NER001People facing limited access constraints,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,People facing restricted access constraints,x,,x,x,,No information currently available,NER001People facing restricted access constraints,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Crisis affected groups,5,OCHA 01/2019,High,1,https://reliefweb.int/sites/reliefweb.int/files/resources/ner_hno_2019.pdf,"Refugees, returnees, IDPs, host and non host populations affected by the conflict",NER002Crisis affected groups,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Economic Losses,x,,x,x,,No information currently available,NER002Economic Losses,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Illness cases reported,x,,x,x,,No information currently available,NER002Illness cases reported,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Landmass affected,156906,Government of Niger 2016,High,1,http://www.stat-niger.org/statistique/file/DSEDS/TBS_2016.pdf,The whole territory of the state of Diffa is affected by the consequences of the Boko Haram crisis,NER002Landmass affected,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,People facing limited access constraints,x,,x,x,,No information currently available,NER002People facing limited access constraints,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,People facing restricted access constraints,x,,x,x,,No information currently available,NER002People facing restricted access constraints,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Buildings damaged,x,,Medium,2,,No information currently available,NER003Buildings damaged,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Buildings destroyed,x,,x,x,,No information currently available,NER003Buildings destroyed,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Crisis affected groups,5,OCHA 01/2019,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/ner_hno_2019.pdf,"Refugees, returnees, IDPs, host and non host populations affected by the conflict",NER003Crisis affected groups,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Economic Losses,x,,Medium,2,,No information currently available,NER003Economic Losses,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Illness cases reported,x,,Medium,2,,No information currently available,NER003Illness cases reported,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Injuries reported,x,,Medium,2,,No information currently available,NER003Injuries reported,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Landmass affected,210600,"Government of Niger 2016, OCHA 31/12/2018, UNHCR 31/12/2018",Medium,2,https://data.humdata.org/dataset/niger-administrative-level-0-3-population-statistics https://data2.unhcr.org/en/documents/download/67565 https://data.humdata.org/dataset/refugees-originating-ner,"Liptako-Gourma regions of Niger, bordering Mali and Burkina Faso : Tahoua and Tillaberi excluding the city of Niamey",NER003Landmass affected,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,People facing limited access constraints,x,,Medium,2,,No information currently available,NER003People facing limited access constraints,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,People facing restricted access constraints,x,,Medium,2,,No information currently available,NER003People facing restricted access constraints,2019-02-12,Humanitarian development
Multiple crises in Cameroon,CMR001,Cameroon,Crisis affected groups,5,,Medium,2,,"IDPS, refugees, returnees (from Libya), host, and non-host",CMR001Crisis affected groups,2019-02-13,Humanitarian development
Multiple crises in Cameroon,CMR001,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR001People facing limited access constraints,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Buildings damaged,x,,Medium,2,,,CMR002Buildings damaged,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Buildings destroyed,x,,x,x,,,CMR002Buildings destroyed,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Economic Losses,5.2,World Bank 01/08/2018,Medium,2,http://documents.worldbank.org/curated/fr/500811535650451258/pdf/127883-FRENCH-REPORT-CEMAC-Agriculture.pdf,"Since 2013, the cattle stolen by Boko Haram from local farmers amounts to 5.2 million of dollars in economic losses",CMR002Economic Losses,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR002People facing limited access constraints,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,People facing restricted access constraints,x,,Medium,2,,,CMR002People facing restricted access constraints,2019-02-13,Humanitarian development
Anglophone Crisis in Cameroon,CMR003,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR003People facing limited access constraints,2019-02-13,Humanitarian development
Anglophone Crisis in Cameroon,CMR003,Cameroon,People facing restricted access constraints,377500,VOA 24/01/2019,Medium,2,https://www.voanews.com/a/cameroon-struggles-to-aid-idps-in-anglophone-separatist-areas/4756930.html?utm_source=NEWS&utm_medium=email&utm_content=1st+section+1st+story+voa&utm_campaign=HQ_EN_therefugeebrief_external_20190125,"Cameroon authorities assisted 60,000 IDPs in the separatist areas, but are unable to reach most of the displaced in need because many have fled to remote areas and are trapped by ongoing fighting

437,500 IDPs - 60,000 IDPs reached by the Cameroonian authorities",CMR003People facing restricted access constraints,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Buildings damaged,0,,Medium,2,,,CMR004Buildings damaged,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Buildings destroyed,0,,Medium,2,,,CMR004Buildings destroyed,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Crisis affected groups,3,,Medium,2,,,CMR004Crisis affected groups,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Economic Losses,x,,Medium,2,,,CMR004Economic Losses,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Injuries reported,0,,Medium,2,,,CMR004Injuries reported,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR004People facing limited access constraints,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,People facing restricted access constraints,x,,Medium,2,,,CMR004People facing restricted access constraints,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Buildings damaged,x,,Medium,2,,,COD001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Buildings destroyed,x,,x,x,,,COD001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Crisis affected groups,5,,Medium,2,,,COD001Crisis affected groups,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Economic Losses,1700,WFP accessed 06/02/2019,Medium,2,https://www1.wfp.org/countries/democratic-republic-congo,"The 2016 Cost of Hunger in Africa study found that undernutrition costs the DRC 4.6% of its GDP, equivalent to US$ 1.7 billion every year",COD001Economic Losses,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,Buildings damaged,x,,Medium,2,,No information available,ERI001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,Buildings destroyed,x,,x,x,,No information available,ERI001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,People facing limited access constraints,x,,Medium,2,,No information available,ERI001People facing limited access constraints,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,People facing restricted access constraints,x,,Medium,2,,No information available,ERI001People facing restricted access constraints,2019-02-13,Humanitarian development
Complex crisis in Honduras,HND001,Honduras,Buildings damaged,x,,Medium,2,,,HND001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in Honduras,HND001,Honduras,Buildings destroyed,x,,x,x,,,HND001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in Honduras,HND001,Honduras,Economic Losses,12965,"IMF accessed 12/02/2019
Institute for Economics and Peace 11/2018",Medium,2,https://www.imf.org/external/datamapper/PPPGDP@WEO/OEMDC/ADVEC/WEOWORLD/VEN/HND http://visionofhumanity.org/app/uploads/2018/11/Economic-Value-of-Peace-2018.pdf,"The economic impact of homicides is estimated to be 25% of GDP in Honduras.

2019 projected GDP of Honduras: 51.86 billion dollars (25% = 12.965 billion dollars)",HND001Economic Losses,2019-02-13,Humanitarian development
Complex crisis in El Salvador,SLV001,El Salvador,Buildings damaged,x,,Medium,2,,,SLV001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in El Salvador,SLV001,El Salvador,Buildings destroyed,x,,x,x,,,SLV001Buildings destroyed,2019-02-13,Humanitarian development
