Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,102743000,49870000,9830000,x,x,2464,x,x,#N/A,1700,52920000,30270000,14112000,4704000,784000,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,341500,5599000,1200000,295000,x,x,x,x,x,#N/A,x,4399000,0,1200000,0,0,5,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1109500,50300000,6610000,4922000,x,x,258,x,x,#N/A,x,43690000,1100000,2700000,2500000,310000,5,1800000,11500,0.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,111093,22011000,5834000,1547000,x,x,x,x,x,#N/A,x,16177000,1734000,4100000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,86000,86000,0,0,0,0,0,#N/A,0,1644000,43000,43000,0,0,2,0,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1023000,619000,36000,x,x,6,x,x,#N/A,x,404000,389000,203000,27000,0,5,x,x,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1023000,36000,36000,x,x,0,0,0,#N/A,0,987000,0,36000,0,0,3,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1023000,583000,x,0,x,0,0,0,#N/A,x,440000,389000,167000,27000,0,5,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381000,43100000,x,x,x,x,849,0,0,#N/A,x,x,x,x,x,x,2,x,x,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,0,x,x,#N/A,x,49000,84000,90000,0,0,1,0,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,43100000,x,x,x,x,651,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,5441000,625000,416000,x,x,1,x,x,#N/A,x,4817000,209000,416000,0,0,2,x,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,23300000,1439000,503000,x,x,0,x,x,#N/A,x,21861000,936000,165000,338000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,2582000,314000,x,x,0,x,x,#N/A,x,645000,0,2582000,0,0,5,x,x,3.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,92610,11983000,115000,115000,x,x,131,x,x,#N/A,x,11868000,0,115000,0,0,2,x,x,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1063652,103700000,103700000,6419000,0,0,11174,x,x,#N/A,x,0,80200000,925000,17150000,5425000,4,0,10000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,742878,88000000,617000,140000,0,0,28,x,x,#N/A,x,87383000,477000,140000,0,0,4,0,0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
International Displacement,International displacement,ETH003,Ethiopia,ETH,1063652,103700000,17744000,817000,0,0,14,x,x,#N/A,x,86000000,16883000,817000,0,0,3,0,0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,311484,30500000,30500000,2172000,0,0,7500,#N/A,#N/A,#N/A,#N/A,0,21100000,6899000,2100000,401000,4,0,10000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,414000,169000,169000,0,x,8,x,x,#N/A,x,245000,151000,18000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,108889,17100000,5700000,242000,x,x,2960,0,0,#N/A,x,11400000,1900000,3300000,174000,326000,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111900,9400000,4000000,245000,x,113000,1909,x,x,#N/A,12965,5400000,706000,2679000,615000,0,3,x,x,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10898000,6950000,180000,0,0,2208,52953,52953,#N/A,x,3948000,1900000,2550000,1500000,1000000,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,800000,160000,12268,9915,2189,92821,61689,#N/A,x,5629000,150000,650000,0,0,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,60000,x,x,36,x,x,#N/A,x,3534000,0,60000,0,0,4,x,x,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,485,x,x,#N/A,x,12541000,x,x,x,x,x,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,3400000,3400000,x,x,0,x,x,#N/A,x,21423000,0,800000,2600000,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,435051.992,40223000,6383000,8481000,x,x,1238,x,x,#N/A,133900,33840000,2030000,1393000,2858000,102000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,435052,40223000,6130000,8229000,x,x,1238,x,x,#N/A,133900,34093000,2030000,1312000,2706000,82000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5143000,485000,253000,x,x,0,x,0,#N/A,x,4661000,0,313000,152000,20000,5,x,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41054,7012000,208000,208000,x,x,696,x,0,#N/A,x,6804000,0,208000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1838000,1318000,x,x,0,x,x,#N/A,x,6870000,1149000,530000,159000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,519240,16907000,3440000,540000,0,0,0,0,0,#N/A,0,13467000,0,3073000,368000,0,2,0,0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,38244,1099000,540000,540000,0,0,0,0,0,#N/A,0,559000,0,540000,0,0,2,0,x,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
Drought in Kenya,Drought,KEN003,Kenya,KEN,519240,16810000,2900000,0,0,0,0,0,0,#N/A,0,13910000,0,2532000,368000,0,2,0,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10450,6825000,3028000,1528000,x,0,0,x,x,#N/A,x,3798000,1500000,105000,1363000,60000,2,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10450,6825000,3798000,x,x,x,55,x,x,#N/A,x,3028000,370000,1321000,2047000,60000,3,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,7400000,1800000,1522000,x,x,899,x,x,#N/A,x,4900000,1200000,871000,273000,156000,5,198000,633000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,7400000,634000,634000,x,x,849,x,x,#N/A,x,6766000,286000,65000,277000,6000,2,79000,229000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30355,1475000,873000,x,0,0,0,0,0,#N/A,x,602000,561000,312000,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,169,0,0,#N/A,0,x,x,x,x,x,1,0,0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,81954,2683000,1379000,0,0,x,25,x,x,#N/A,x,1304000,66000,801000,484000,28000,1,x,x,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1964375,124227000,321000,82000,x,x,301,x,x,#N/A,x,124227000,321000,x,x,x,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1964375,128972000,357000,357000,x,x,3454,x,x,#N/A,x,124227000,321000,x,x,x,4,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1964375,124227000,321000,82000,x,x,301,x,x,#N/A,x,124227000,321000,x,x,x,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,20402000,11712000,1140000,x,44056,886,x,x,#N/A,x,8691000,5812000,3700000,2200000,0,5,x,x,0.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,642546,43826000,5314000,1735000,x,x,5954,x,x,#N/A,x,36702000,3619000,3047000,498000,150000,4,x,x,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3882000,1563000,1346000,x,x,11,x,x,#N/A,x,2318000,729000,247000,437000,150000,4,x,x,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843,6513000,3560000,107000,x,x,757,x,x,#N/A,x,2953000,2699000,800000,61000,0,3,x,x,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0
Post-coup Violence in Myanmar,Conflict,MMR004,Myanmar,MMR,352846,33431000,2000000,282000,x,x,6402,x,x,#N/A,x,31431000,190000,2000000,0,0,3,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,280615,10302000,2333000,745000,x,0,610,x,x,#N/A,x,7969000,1033000,1200000,100000,0,3,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,95000,85000,85000,0,x,0,0,0,#N/A,x,11000,0,85000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4164000,4532000,x,x,x,0,x,x,#N/A,x,2632000,1036000,476000,0,0,3,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94280,19129000,17240000,0,0,0,44,x,x,#N/A,x,1889000,15744000,1496000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,9395,3815000,180000,180000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,3635000,0,180000,0,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,824292,2551000,1587000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,964000,836000,632000,119000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23800000,3882000,565000,x,x,604,x,x,#N/A,x,19918000,60000,3648000,173000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,949000,293000,243000,141012,x,148,x,x,#N/A,x,656000,1000,272000,20000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,8400000,1356000,202000,x,x,415,x,x,#N/A,x,7044000,9000,1310000,36000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0
Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1328000,704000,187000,x,x,16,0,0,#N/A,0,624000,0,662000,42000,0,2,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,76901000,17831000,5302000,x,x,3790,x,4300,#N/A,x,59070000,4400000,10734000,2697000,0,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15532000,982000,380000,x,x,499,x,x,#N/A,x,14550000,0,982000,0,0,5,x,x,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,13100000,13100000,4369000,x,x,837,x,4300,#N/A,x,0,4400000,6003000,2697000,0,4,x,800000,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,35593000,3679000,485000,x,x,2454,500,10500,#N/A,49,31914000,0,3679000,0,0,5,x,x,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,108688,12675000,69000,69000,x,x,0,x,x,#N/A,x,12606000,0,69000,0,0,2139,x,x,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120339.54,6444000,417000,102000,x,17631,3,0,0,#N/A,1214,x,x,x,0,0,1,0,0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,229489000,70546000,21660000,x,x,718,x,x,#N/A,x,158943000,59546000,9856000,1144000,0,5,x,x,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,2,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,205094,1050000,713000,1050000,x,x,x,0,0,#N/A,x,337000,0,713000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,222768,44915000,8301000,700000,515,x,467,430615,200117,#N/A,66000000000,36614000,5785000,2517000,0,0,4,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,26252000,117000,117000,x,x,75,x,x,#N/A,x,26136000,0,117000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,84413.6,18662000,8185000,584000,515,x,392,430615,200117,#N/A,66000000000,10478000,5785000,2400000,0,0,4,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25666000,25666000,34000,x,x,3,x,x,#N/A,x,0,15120000,4970000,5459000,0,1,x,x,2.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6025,5335000,4706000,6401000,6148,x,44,160000,11422,#N/A,x,630000,2294000,2054000,336000,21000,4,x,4950000,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",369002,19217000,13183000,5158000,x,x,1833,0,4300,#N/A,5200000,6035000,4223000,4636000,4201000,122000,5,x,800000,1.0,3.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",1458646,73069000,35266000,5443000,x,x,x,0,0,#N/A,x,39506000,13009000,20392000,162000,0,4,x,x,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",235533,16991000,16991000,x,x,x,171,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",459193,92491000,36040000,22783000,x,x,2784,x,x,#N/A,x,56450000,17829000,3111000,13541000,1560000,5,#N/A,x,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",180868,38040000,12734000,4234000,x,x,23,x,x,#N/A,x,25305000,10294000,1699000,741000,0,2,x,x,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,604,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,161,x,x,#N/A,x,x,x,x,x,x,2,x,x,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",45507,5231000,2919000,1346000,x,x,11,x,x,#N/A,x,3041000,0,2190000,0,0,4,x,x,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE",2191620,54748000,38222000,950000,0,0,83,0,0,#N/A,0,16526000,25458000,11133000,1603000,28000,3,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",59763,5877000,2937000,93000,x,x,138,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,10646,4576000,140000,140000,x,x,x,0,0,#N/A,0,4436000,0,140000,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,1840687,48000000,30100000,4892000,x,x,1622,x,x,#N/A,x,17900000,15800000,6200000,6200000,1900000,5,x,x,2.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,89263,13007000,13007000,1053000,x,x,62,x,x,#N/A,x,0,11954000,1053000,0,0,2,#N/A,#N/A,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Floods in Sudan ,Flood,SDN006,Sudan,SDN,1840687,46400000,314000,87000,54,x,84,83000,93000,#N/A,x,46086000,227000,87000,0,0,3,x,x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,180000,13830000,13830000,72000,x,x,0,x,x,#N/A,x,0,13758000,72000,0,0,2,x,x,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,79460,1838000,1017000,350000,0,0,402,55,0,#N/A,0,0,962000,130000,720000,80000,2,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0
