,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrisisID,Data Reliability,Information gaps (# indicator missing),Impact of the crisis,Area affected,People in the affected area,Geographical,People affected,People displaced,Crisis related fatalities,People affected by categories,Human,Conditions of people affected,# of people facing minimal humanitarian needs (level 1),# of people facing stressed humanitarian conditions and needs (level 2),# of people facing moderate humanitarian conditions and needs (level 3),# of people facing severe humanitarian conditions and needs (level 4),# of people facing extreme humanitarian conditions and needs (level 5),Complexity of the crisis,Society and safety,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Rule of Law,Operating environment,Diversity of groups affected,Humanitarian Access,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints
MLI001,1.7,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
MRT002,1.8,2,2,2,2,2,2,2,x,2,2,2,2,2,2,2,2,1.3,1,1,1,x,1,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
MRT003,1.9,4,2,2,2,2,2,x,x,x,2,2,2,2,2,2,2,1.5,1,1,1,x,1,1,2,x,2,2,2,2,2,2,2,2,2,2,2,2,2
MEX001,x,3,2.7,2,2,2,x,3,x,3,3,x,x,x,x,x,x,1.8,1.3333333333333333,1,1,3,2,1,2.1944444444444446,2,2.388888888888889,x,3,2,3,2.6666666666666665,2,3,2.5,2,x,x,2
MEX002,x,3,2.5,2,3,2.5,3,2,x,2,2.5,x,x,x,x,x,x,2.1,1.3333333333333333,1,1,3,2,1,2.833333333333333,x,2.833333333333333,x,3,2,3,2.6666666666666665,x,3,3,x,x,x,x
MEX003,x,1,2.8,2,3,2.5,3,3,3,3,3,x,x,x,x,x,x,1.4,1.3333333333333333,1,1,3,2,1,1.5277777777777777,1,2.0555555555555554,x,3,2,3,2.6666666666666665,2,1,1.5,2,x,x,2
MAR002,x,3,2.7,1,3,2.1,x,x,3,3,3,x,x,x,x,x,x,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MOZ001,1.9,0,2.5,3,2,2.5,3,2,2,2,2.5,2,2,2,2,2,2,1.4,1.1666666666666667,1,1,2,1.5,1,1.5416666666666667,1,2.0833333333333335,1,2,2,2,1.75,3,2,2.5,2,2,2,2
MOZ004,1.8,0,1.7,1,2,1.5,2,1,2,1.5,1.8,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2.041666666666667,2,2.0833333333333335,1,2,2,2,1.75,3,2,2.5,2,2,2,2
MOZ006,2.4,1,2.4,1,3,2.1,3,2,x,2,2.5,3,3,3,3,3,3,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MMR001,1.9,0,2.3,2,2,2,2,3,3,3,2.5,2,2,2,2,2,2,1.3,1.3333333333333333,1,1,3,2,1,1.1805555555555554,1,1.361111111111111,1,2,2,2,1.75,1,1,1,1,2,1,1.3333333333333333
MMR002,1.8,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.3,1.3333333333333333,1,1,3,2,1,1.1666666666666665,1,1.3333333333333333,1,1,1,1,1,1,1,1,2,2,2,2
MMR003,1.8,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.3,1.3333333333333333,1,1,3,2,1,1.3055555555555554,1,1.611111111111111,1,2,2,1,1.5,2,2,2,1,2,1,1.3333333333333333
NAM002,1.8,1,1.8,1,2,1.5,2,x,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NIC001,x,1,2,1,2,1.5,2,2,3,2.5,2.3,x,x,x,x,1,1,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,x,x,1,1,1,1,1,1,1,1,1,1
NER001,2.2,0,2,1,2,1.5,2,2,3,2.5,2.3,3,3,3,3,3,3,1.2,1.3333333333333333,1,1,3,2,1,1.0416666666666665,1,1.0833333333333333,1,1,1,2,1.25,1,1,1,1,1,1,1
NER002,2.3,0,2.4,1,2,1.5,3,2,3,2.5,2.8,3,3,3,3,3,3,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NER003,2.4,0,2.6,2,2,2,3,2,3,2.5,2.8,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5416666666666665,2,1.0833333333333333,1,1,1,2,1.25,1,1,1,1,1,1,1
NER004,2.5,0,2.7,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,x,2,x,x,2,x,2,2,2,2,2,2
NER005,2.5,1,2.4,3,3,3,2,x,2,2,2,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NGA001,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
NGA003,x,2,2,2,2,2,2,x,2,2,2,x,x,2,x,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
NGA004,1.7,1,1.7,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,x,1,1,1,1,1,1,1,1,1,1,1,1,1
NGA007,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
NGA008,1.8,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
REG001,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK001,1.8,0,2.3,2,2,2,3,2,2,2,2.5,2,2,2,2,2,2,1.2,1.1666666666666667,1,1,2,1.5,1,1.3194444444444446,1,1.638888888888889,1,2,2,2,1.75,2,1,1.5,2,2,1,1.6666666666666667
PAK004,2.4,1,2.2,1,2,1.5,2,x,3,3,2.5,3,3,3,3,3,3,1.7,1.1666666666666667,1,1,2,1.5,1,2.2361111111111107,2,2.472222222222222,1,3,2,3,2.25,3,2,2.5,3,3,2,2.6666666666666665
PSE002,2,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PER002,2.4,0,2.2,2,2,2,2,2,3,2.5,2.3,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PHL001,1.7,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
PHL003,2.3,0,2.3,2,2,2,3,2,2,2,2.5,3,3,3,3,3,3,1.1,1.1666666666666667,1,1,2,1.5,1,1,False,1,1,1,1,1,1,1,1,1,1,1,1,1
PHL004,1.8,0,2.2,2,2,2,3,2,1,1.5,2.3,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RWA002,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
SEN002,1.7,1,1.8,1,2,1.5,2,x,2,2,2,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SOM001,1.8,0,2,1,2,1.5,2,3,2,2.5,2.3,2,2,2,2,2,2,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SOM002,1.9,1,2.4,1,1,1,3,3,x,3,3,2,2,2,2,2,x,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
SOM004,1.8,0,1.4,1,2,1.5,False,2,3,2.5,1.3,2,2,2,2,2,2,1.8,1.3333333333333333,1,1,3,2,1,2.2222222222222223,3,1.4444444444444444,2,1,2,1,1.5,2,1,1.5,2,1,1,1.3333333333333333
SSD001,1.7,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SDN001,1.7,0,1.7,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1.2,1.3333333333333333,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SDN005,1.8,1,1.8,1,2,1.5,2,2,x,2,2,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,x,1,1,1,1,1
SDN006,2.3,1,1.7,2,2,2,1,2,2,2,1.5,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,x,2,2,2,2,2,2,2,2,2,2,2,2,2
SYR001,2.4,0,2.3,2,2,2,2,3,3,3,2.5,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
REG004,2,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TZA002,1.7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
THA001,1.8,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
THA002,x,2,2,2,2,2,2,x,2,2,2,x,x,x,x,x,x,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
THA003,1.8,1,2,2,2,2,2,2,x,2,2,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
TTO002,2.3,0,2.2,2,2,2,2,2,3,2.5,2.3,2.8,2,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TUN002,2.1,2,2.6,1,2,1.5,x,x,3,3,3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
