INFORM Severity Index - all crises. Release: June 2022,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.5,4,High,Increasing,Medium,3.2,3.6,2.9,4.1,4.2,4,2.8,2.6,3,Middle east,2022-06-27 00:00:00
Mixed migration flows in Libya,LBY002,Libya,LBY,International displacement,3.1,4,High,Increasing,Very High,3.9,4.6,3.4,2.2,2.4,2,3.7,3.3,4,Africa,2022-05-24 00:00:00
Socio-economic crisis in Sri Lanka,LKA002,Sri Lanka,LKA,Political and economic crisis,3.4,4,High,-,Very High,3.8,4.4,3.4,4.3,4.6,4,1.6,2.2,1,Asia,2022-06-21 00:00:00
Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.1,3,Medium,Decreasing,High,2.1,3,1.5,2.75,2.5,3,1.1,1.7,0.5,Africa,2022-05-28 00:00:00
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.7,4.9,2.8,x,x,x,2.1,3,1,Africa,2022-05-25 00:00:00
DIsplacement from Ukraine conflict in Moldova,MDA002,Moldova,MDA,International displacement,1.2,2,Low,Decreasing,High,1.5,0.2,2,1,0,2,1.4,1.8,1,Europe,2022-05-12 00:00:00
Drought in Madagascar,MDG002,Madagascar,MDG,Drought,2.9,3,Medium,Decreasing,Very High,2.2,2.2,2.2,3.85,3.7,4,1.7,2.3,1,Africa,2022-05-14 00:00:00
Tropical Cyclones Season in 2022 in Madagascar,MDG006,Madagascar,MDG,Tropical cyclone,1.8,2,Low,Decreasing,Very High,3.5,4.9,2.3,0.8,0.6,1,1.7,2.3,1,Africa,2022-05-14 00:00:00
Criminal Violence in Mexico,MEX002,Mexico,MEX,Other type of violence,2.5,3,Medium,-,High,4.1,5,3.4,0.5,0,1,3.5,3,4,Americas,2022-06-28 00:00:00
Mixed Migration in Mexico,MEX003,Mexico,MEX,International displacement,2.5,3,Medium,Stable,High,3.7,4.8,2.9,1.25,1.5,1,3,3,3,Americas,2022-06-28 00:00:00
Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,4.2,5,Very High,Decreasing,Very High,4.3,4.8,4,4.35,4.7,4,3.9,3.1,4.5,Africa,2022-06-29 00:00:00
Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,3.7,4,High,Increasing,High,2.6,1.3,3.1,3.85,3.7,4,4.2,3.9,4.5,Asia,2022-06-27 00:00:00
Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,3.9,4,High,Increasing,High,3.6,2.4,4.1,4.05,4.1,4,4,3.9,4,Asia,2022-06-27 00:00:00
Post-coup conflict in Myanmar,MMR004,Myanmar,MMR,Conflict,4.5,5,Very High,Increasing,Very High,4.2,4.1,4.2,5,5,5,4,3.9,4,Asia,2022-06-27 00:00:00
Cabo Delgado Islamist Insurgency,MOZ004,Mozambique,MOZ,Other type of violence,3.4,4,High,Stable,High,3.7,2.8,4,3.3,3.6,3,3.4,3.7,3,Africa,2022-05-13 00:00:00
2022 Tropical Cyclone Seasons in Mozambique,MOZ008,Mozambique,MOZ,Tropical cyclone,3.1,4,High,Increasing,High,2.7,3.7,2.1,3.15,3.3,3,3.4,3.7,3,Africa,2022-05-13 00:00:00
Refugees from Mali in Mauritania,MRT002,Mauritania,MRT,International displacement,2.1,3,Medium,Stable,Medium,1.8,0,2.5,2.25,1.5,3,2,2.4,1.5,Africa,2022-05-15 00:00:00
Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.8,3,Medium,Stable,Low,3.4,4.4,2.8,2.9,2.8,3,2.2,2.4,2,Africa,2022-05-15 00:00:00
Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,3,3,Medium,Decreasing,Very High,3.4,4.4,2.7,3.4,3.8,3,2,2,2,Africa,2022-06-19 00:00:00
Tropical Cyclone Ana in Malawi,MWI004,Malawi,MWI,Tropical cyclone,2.5,3,Medium,Increasing,High,3.2,4.2,2.5,2.55,3.1,2,2,2,2,Africa,2022-06-19 00:00:00
International Refugees in Malaysia,MYS001,Malaysia,MYS,International displacement,2.3,3,Medium,Increasing,High,2.9,1.7,3.4,2.05,2.1,2,2.2,1.9,2.5,Asia,2022-06-27 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.5,3,Medium,Increasing,Medium,2.8,4.2,1.7,3.05,3.1,3,1.3,1.5,1,Africa,2022-06-19 00:00:00
Boko Haram in Niger,NER002,Niger,NER,Conflict,2.9,3,Medium,Decreasing,Medium,2.6,1.2,3.1,2.7,2.4,3,3.5,2.8,4,Africa,2022-04-25 00:00:00
Mali/Burkina Faso conflict,NER003,Niger,NER,Conflict,3.3,4,High,Stable,Medium,3,2.4,3.3,3.25,3.5,3,3.5,2.8,4,Africa,2022-04-25 00:00:00
Nigerian Refugees,NER004,Niger,NER,International displacement,2.7,3,Medium,Stable,Medium,2.1,0.6,2.7,3.05,3.1,3,2.4,2.8,2,Africa,2022-04-25 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,3.5,4,High,Decreasing,High,4.5,5,4.1,2.3,3.6,1,4,3.4,4.5,Africa,2022-06-29 00:00:00
Middle belt conflict,NGA003,Nigeria,NGA,Conflict,3.2,4,High,Stable,High,3,2.3,3.3,3.15,3.3,3,3.5,3.4,3.5,Africa,2022-06-29 00:00:00
Boko Haram crisis in Nigeria,NGA004,Nigeria,NGA,Conflict,4.2,5,Very High,Stable,High,4.2,2.2,4.8,4.45,4.9,4,3.7,3.4,4,Africa,2022-06-29 00:00:00
Northwest Banditry,NGA007,Nigeria,NGA,Other type of violence,3.6,4,High,Stable,High,3.3,2.8,3.5,3.65,4.3,3,3.7,3.4,4,Africa,2022-06-27 00:00:00
Cameroonian Refugees in Nigeria,NGA008,Nigeria,NGA,International displacement,1.7,2,Low,Decreasing,High,1.7,2,1.5,0.5,0,1,3.5,3.4,3.5,Africa,2022-06-27 00:00:00
Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,NIC,Political and economic crisis,x,x,x,-,High,3.1,4,2.6,x,x,x,3,2.9,3,Americas,2022-06-29 00:00:00
Complex crisis in Pakistan,PAK001,Pakistan,PAK,Complex crisis,3.7,4,High,Increasing,High,4.2,5,3.7,3.5,5,2,3.6,3.2,4,Asia,2022-06-22 00:00:00
Kashmir conflict in Pakistan,PAK004,Pakistan,PAK,Conflict,x,x,x,-,Very Low,0.4,1,0,x,x,x,2.9,3.2,2.5,Asia,2022-06-22 00:00:00
Venezuela displacement in Panama,PAN002,Panama,PAN,International displacement,2.2,3,Medium,Stable,Very High,3,2.6,3.2,2.3,1.6,3,1.4,1.8,1,Americas,2022-06-29 00:00:00
Venezuela displacement in Peru,PER002,Peru,PER,International displacement,2.9,3,Medium,Stable,Medium,3.3,2.4,3.7,3.35,3.7,3,1.9,2.7,1,Americas,2022-05-02 00:00:00
Mindanao conflict,PHL003,Philippines,PHL,Conflict,2.1,3,Medium,Decreasing,Medium,2.8,3,2.7,1.35,1.7,1,2.7,2.9,2.5,Asia,2022-06-27 00:00:00
Typhoon RAI,PHL010,Philippines,PHL,Tropical cyclone,3.1,4,High,Stable,High,2.9,3,2.9,3.5,4,3,2.7,2.9,2.5,Asia,2022-06-27 00:00:00
Displacement from Ukraine conflict in Poland,POL002,Poland,POL,International displacement,1.7,2,Low,Increasing,High,3.1,2.1,3.5,1,0,2,1.3,1,1.5,Europe,2022-05-12 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.8,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.4,2.7,2,Asia,2022-06-23 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,3.7,4,High,Decreasing,High,3.7,3.4,3.9,4,4,4,3.2,2.1,4,Middle east,2022-06-27 00:00:00
Regional Boko Haram Crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",Regional crisis,4.3,5,Very High,Increasing,Medium,4,2.3,4.5,4.45,4.9,4,4.4,3.6,5,"Africa,Africa,Africa,Africa",2022-04-25 00:00:00
Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",Regional crisis,3.8,4,High,Decreasing,High,4,2.9,4.4,4,5,3,3.4,2.7,4,"Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",2022-05-13 00:00:00
Regional Kashmir conflict,REG003,"India,Pakistan","IND,PAK",Regional crisis,x,x,x,-,Very Low,3.9,2.1,4.5,x,x,x,2.7,2.8,2.5,"Asia,Asia",2022-05-16 00:00:00
Syrian Regional Crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",Regional crisis,4.2,5,Very High,Decreasing,High,3.8,3.1,4.1,4.5,5,4,4.1,3.6,4.5,"Middle east,Middle east,Middle east,Africa,Middle east,Middle east",2022-06-29 00:00:00
Eastern Mediterranean Route ,REG006,"Turkey,Greece","TUR,GRC",Regional crisis,3.2,4,High,Decreasing,Medium,3.3,3,3.5,3.5,4,3,2.6,2.6,2.5,"Middle east,Europe",2022-05-15 00:00:00
Central Mediterranean Route,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",Regional crisis,x,x,x,-,Very Low,x,x,4,x,x,x,2.8,2.6,3,"Africa,Africa,Africa,Europe",2022-05-15 00:00:00
Western Mediterranean Route,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",Regional crisis,x,x,x,-,Very Low,x,x,3.2,x,x,x,2.3,2.6,2,"Africa,Africa,Europe",2022-05-15 00:00:00
Rohingya Regional Crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",Regional crisis,3.8,4,High,Increasing,High,2.8,1.4,3.3,4.05,4.1,4,4.1,3.5,4.5,"Asia,Asia",2022-06-30 00:00:00
Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",Regional crisis,3.4,4,High,Decreasing,High,3.4,3.9,3.1,4,5,3,2.3,2.5,2,"Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",2022-05-14 00:00:00
Nagorno-Karabakh Conflict,REG013,"Armenia,Azerbaijan","ARM,AZE",Regional crisis,1.9,2,Low,-,High,2.8,3.4,2.5,1.35,0.7,2,1.9,2.3,1.5,"Middle east,Middle east",2022-06-27 00:00:00
Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",Regional crisis,3.8,4,High,Decreasing,High,3.6,4.8,2.6,3.9,4.8,3,3.9,3.8,4,"Africa,Africa,Africa",2022-05-14 00:00:00
Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,International displacement,1,1,Very Low,Stable,High,1.5,1.5,1.5,0.5,0,1,1.2,1.3,1,Europe,2022-05-12 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,2.4,3,Medium,Increasing,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2022-06-01 00:00:00
Refugees in Sudan,SDN005,Sudan,SDN,International displacement,3.3,4,High,Increasing,High,3.3,2.1,3.8,3.2,3.4,3,3.4,4.1,2.5,Africa,2022-06-26 00:00:00
Violence in Darfur and Kordofan regions,SDN008,Sudan,SDN,Other type of violence,4.2,5,Very High,Increasing,Very High,3.4,3.2,3.5,4.9,4.8,5,3.6,4.1,3,Africa,2022-06-26 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Medium,2.9,4.8,1.2,2.45,2.9,2,1.8,2,1.5,Africa,2022-06-29 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3.2,4,High,Increasing,High,3.4,3.8,3.2,3.35,3.7,3,2.7,2.4,3,Americas,2022-06-29 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4.4,5,Very High,Increasing,High,4.8,4.7,4.9,4.4,4.8,4,4.2,3.8,4.5,Africa,2022-05-23 00:00:00
Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,International displacement,1.7,2,Low,Stable,Medium,1.4,0.8,1.7,0.85,0.7,1,3.2,3.8,2.5,Africa,2022-05-12 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.6,5,Very High,Increasing,High,4.6,4.6,4.6,4.95,4.9,5,4.2,3.8,4.5,Africa,2022-05-10 00:00:00
Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,International displacement,1.2,2,Low,Stable,High,1.8,1.5,2,1,0,2,1.1,1.1,1,Europe,2022-05-12 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.3,3,Medium,Decreasing,High,2.1,3.1,1.5,2.75,2.5,3,1.7,2.7,0.5,Africa,2022-06-20 00:00:00
Syrian conflict,SYR001,Syria,SYR,Complex crisis,4.6,5,Very High,Decreasing,High,4.8,4.6,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2022-06-27 00:00:00
Boko Haram in Chad,TCD003,Chad,TCD,Conflict,3.7,4,High,Stable,Medium,3.1,0.6,3.9,3.8,2.6,5,3.9,3.8,4,Africa,2022-05-11 00:00:00
CAR refugees in Chad,TCD004,Chad,TCD,International displacement,3.4,4,High,Increasing,Medium,2.8,1.9,3.2,3.65,3.3,4,3.4,3.8,3,Africa,2022-05-11 00:00:00
Darfur refugees in Chad,TCD005,Chad,TCD,International displacement,3.2,4,High,Stable,Medium,2.5,1.7,2.9,3.7,3.4,4,3,3.8,2,Africa,2022-05-11 00:00:00
Tibesti Conflict in Chad,TCD006,Chad,TCD,Conflict,2.5,3,Medium,Stable,Medium,2.4,1.3,2.8,2.2,0.4,4,3.2,3.8,2.5,Africa,2022-05-11 00:00:00
Conflict in southern Thailand ,THA002,Thailand,THA,Conflict,x,x,x,-,Low,1.6,1.1,1.9,x,x,x,2,2.5,1.5,Asia,2022-06-09 00:00:00
Myanmar refugees in Thailand,THA003,Thailand,THA,International displacement,2.2,3,Medium,Decreasing,Medium,2.2,0.5,2.8,2.3,1.6,3,2,2.5,1.5,Asia,2022-06-27 00:00:00
Tonga Volcano Eruption,TON002,Tonga,TON,Volcano,1.3,2,Low,Stable,Very High,2,2.5,1.7,1,0,2,1.1,1.1,1,Pacific,2022-05-16 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.6,2,Low,Decreasing,Medium,2.5,2.9,2.3,0.95,0.9,1,1.7,1.8,1.5,Americas,2022-05-05 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,3.1,4.3,2.2,x,x,x,1.3,2,0.5,Africa,2022-05-27 00:00:00
Syrian Refugees in Turkey,TUR002,Turkey,TUR,International displacement,3.3,4,High,Increasing,High,3.8,2.9,4.2,3.45,3.9,3,2.8,3,2.5,Middle east,2022-06-29 00:00:00
Mixed Migration Flows in Turkey,TUR003,Turkey,TUR,International displacement,3.2,4,High,Decreasing,High,3.2,3.1,3.3,3.5,4,3,2.8,3,2.5,Middle east,2022-06-29 00:00:00
Kurdish Conflict,TUR004,Turkey,TUR,Conflict,x,x,x,-,Medium,2.5,2.4,2.6,x,x,x,2.8,3,2.5,Middle east,2022-06-27 00:00:00
International Displacement in Tanzania,TZA002,Tanzania,TZA,International displacement,2.3,3,Medium,Decreasing,Very High,3,2,3.4,2.15,2.3,2,1.9,2.2,1.5,Africa,2022-06-19 00:00:00
Food Security Crisis in North-East Tanzania,TZA003,Tanzania,TZA,Food Security,2.3,3,Medium,Increasing,Very High,1.4,1.4,1.4,3,3,3,1.6,2.2,1,Africa,2022-06-19 00:00:00
International Displacement in Uganda,UGA005,Uganda,UGA,International displacement,3.1,4,High,Stable,Medium,3.3,2.1,3.7,3.35,3.7,3,2.7,3.3,2,Africa,2022-05-13 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,4.4,5,Very High,Increasing,Very High,4.6,4.9,4.4,5,5,5,3.4,2.6,4,Europe,2022-05-11 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.2,5,Very High,Decreasing,Medium,4.6,4.9,4.5,4,5,3,4,3.3,4.5,Americas,2022-06-07 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.8,5,Very High,Increasing,High,4.6,4.9,4.4,5,5,5,4.5,3.9,5,Middle east,2022-05-16 00:00:00
Mixed migration flows in Yemen,YEM002,Yemen,YEM,International displacement,4.5,5,Very High,Stable,Very High,4.6,4.9,4.4,5,5,5,3.7,3.9,3.5,Middle east,2022-05-16 00:00:00
