Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1333000,1333000,862000,37140,141302,4,x,x,#N/A,x,0,472000,654000,207000,0,3,0,0,2,1,1,0,1,2,3,0,2
Floods in Bangladesh,Flood,BGD003,Bangladesh,BGD,34002,70168000,5400000,94000,x,x,41,x,x,#N/A,x,64768000,5306000,94000,0,0,5,x,x,x,x,x,x,x,x,x,x,x
Cyclone Amphan Bangladesh,Tropical cyclone,BGD006,Bangladesh,BGD,38783,27182000,12751000,220000,x,x,26,x,x,#N/A,x,14432000,12051000,700000,0,0,3,x,x,0,0,0,0,0,0,0,1,2
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",45507,5215000,2897000,1238000,x,x,195,x,x,#N/A,x,2318000,1281000,905000,711000,0,4,x,x,2,2,1,0,2,3,3,0,2
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,870000,663000,264000,x,x,0,x,x,#N/A,x,207000,399000,264000,0,0,2,x,x,0,0,0,0,0,0,0,0,0
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,151789,8736000,5277000,1051000,X,X,1116,X,X,#N/A,X,3459000,3107000,490000,764000,916000,4,x,x,0,2,0,3,0,2,3,0,0
Floods in Burkina Faso,Flood,BFA003,Burkina Faso,BFA,270764,21138000,106000,x,112,x,41,3446,12378,#N/A,x,21032000,56000,50000,0,0,5,x,x,0,2,0,3,0,2,3,0,0
Multiple crises in Burkina Faso,Multiple crises country,BFA004,Burkina Faso,BFA,270764,21138000,5383000,1051000,x,x,1157,3446,12378,#N/A,x,15755000,3163000,540000,764000,916000,5,x,x,0,2,0,3,0,2,3,0,0
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,11657000,5289000,502000,x,70187,223,x,x,#N/A,444,6368000,3955000,1206000,128000,0,5,x,x,2,2,1,0,3,1,1,0,2
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,283816,10316000,5567000,1976000,150,x,519,x,x,#N/A,x,5124000,3855000,1543000,185000,0,5,x,x,0,3,3,0,1,3,2,1,3
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,4378000,2521000,560000,X,X,189,x,x,#N/A,5.2,1857000,1879000,553000,89000,0,5,x,x,0,0,0,0,0,2,1,2,2
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,76850,4374000,2763000,1133000,X,x,330,X,X,#N/A,X,1611000,1976000,690000,97000,0,4,x,377500,1,2,3,0,1,3,0,2,2
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,172703,1565000,284000,284000,0,x,0,0,0,#N/A,x,1281000,0,284000,0,0,3,x,x,0,0,0,0,0,0,0,2,0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1722000,X,X,117,X,X,#N/A,X,0,2100000,900000,1900000,0,5,X,X,0,3,2,3,0,2,3,0,3
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,1259200,16783000,16787000,884000,x,x,370,x,x,#N/A,x,9169000,1207000,4736000,1472000,192000,5,x,x,1,2,2,0,0,2,3,2,3
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,19915,685000,685000,343000,x,x,261,x,x,#N/A,x,0,318000,98000,147000,122000,5,x,x,1,2,2,0,0,2,3,2,3
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,154623,4456000,1004000,164000,X,X,X,X,0,#N/A,X,3452000,0,743000,261000,0,3,X,X,1,2,2,0,0,2,3,2,3
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,205671,2577000,1123000,371000,X,X,5,X,0,#N/A,X,1454000,0,694000,429000,0,2,X,X,1,2,2,0,0,2,3,2,3
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,220000,38000,38000,x,x,x,37,x,x,#N/A,x,0,20000,11000,6000,1000,3,x,x,1,2,0,0,0,0,0,2,3
Floods in Chad,Flood,TCD008,Chad,TCD,682200,16364000,388000,120000,x,x,10,x,x,#N/A,x,15976000,113000,275000,0,0,5,x,x,1,2,2,0,0,2,3,2,3
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1109500,48300000,13400000,3126000,x,x,x,x,x,#N/A,x,34900000,4900000,5998000,2502000,0,5,1800000,11500,0,2,0,0,0,2,1,3,1
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,135000,26910000,2825000,2765000,x,x,x,x,x,#N/A,x,23545000,0,2865000,500000,0,3,x,x,0,2,0,0,0,2,1,3,1
Floods in Congo,Flood,COG004,Congo,COG,66044,154000,66000,x,x,x,x,x,x,#N/A,x,88000,0,66000,0,0,4,x,x,0,0,0,0,0,0,0,0,1
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,81000,81000,0,0,0,0,0,#N/A,0,1651000,39000,41000,0,0,2,0,#N/A,0,0,0,0,0,0,0,0,0
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1011000,640000,x,x,x,0,x,x,#N/A,x,372000,329000,203000,107000,0,5,x,x,1,0,0,0,0,0,0,0,3
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1011000,30000,30000,x,x,0,0,0,#N/A,0,981000,0,30000,0,0,2,0,0,1,0,0,0,0,0,0,0,1
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1011000,639000,x,0,x,0,0,0,#N/A,x,372000,329000,203000,107000,0,5,0,0,1,0,0,0,0,0,0,0,1
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25550000,25550000,x,x,x,x,x,x,#N/A,x,0,15120000,4970000,5459000,0,1,x,x,2,2,2,0,3,2,0,1,2
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,99510000,43245000,8466000,x,x,3614,x,x,#N/A,1700,46241000,29826000,16511000,6391000,533000,5,x,x,1,3,2,3,1,2,3,1,3
Floods in south-eastern DRC,Flood,COD003,DRC,COD,575949,23077000,587000,x,x,x,x,x,x,#N/A,x,22490000,0,523000,64000,0,5,x,x,1,2,1,3,0,2,2,1,3
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,4817000,572000,363000,x,x,1,x,x,#N/A,x,4245000,0,572000,0,0,2,x,0,0,0,0,0,0,1,0,0,1
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,21884000,3157000,503000,x,x,0,x,x,#N/A,x,18731000,3030000,37000,87000,0,2,x,x,1,1,1,0,2,0,0,2,0
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,20720,6700000,1400000,454000,x,2304,399,x,x,#N/A,x,5300000,757000,580000,63000,0,3,x,x,0,2,1,0,0,2,1,0,2
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,3227000,300000,x,x,0,x,x,#N/A,x,645000,0,2582000,0,0,5,x,x,3,x,x,0,x,x,0,2,x
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,17204,1131000,752000,0,0,0,x,#N/A,#N/A,#N/A,#N/A,379000,385000,307000,60000,0,1,#N/A,#N/A,0,0,0,0,0,0,0,0,0
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1000000,29225000,18770000,1735000,x,x,571,x,x,#N/A,x,10455000,10296000,6497000,1977000,0,4,x,x,2,1,2,0,2,x,2,2,2
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,742878,61952000,1018000,294000,x,x,12,x,x,#N/A,x,61221000,221000,401000,0,0,3,x,x,x,x,x,x,x,x,x,x,2
International Displacement,International displacement,ETH003,Ethiopia,ETH,907050,72381000,769000,769000,x,x,x,x,x,#N/A,x,71612000,0,769000,0,0,3,x,x,2,1,2,0,2,2,1,3,x
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,335000,121000,121000,0,x,19,x,x,#N/A,x,214000,98000,24000,0,0,2,x,x,0,0,1,0,0,2,0,0,0
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,107160,14900000,5500000,242000,x,1678,1661,0,0,#N/A,x,9104000,2496000,3074000,226000,0,3,x,x,0,1,0,1,0,2,0,0,1
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10900000,6300000,53000,x,x,222,x,x,#N/A,x,3878000,3022000,3095000,905000,0,2,x,x,0,1,0,0,0,0,2,0,3
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111890,9158000,2700000,247000,75122,7103,2078,x,x,#N/A,12965,6014000,1844000,1042000,258000,0,3,x,x,0,2,1,1,0,2,1,0,0
Multiple Crises in India,Multiple crises country,IND001,India,IND,2119339,865053000,22615000,1827000,x,x,2019,x,x,#N/A,x,842438000,20788000,1827000,0,0,x,x,x,x,1,x,x,x,x,x,x,x
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,271,x,x,#N/A,x,12541000,x,x,x,0,x,x,x,1,1,1,0,1,1,1,1,1
Cyclone Amphan India,Tropical cyclone,IND003,India,IND,269249,44047000,18000000,660000,x,x,86,x,x,#N/A,x,26047000,17340000,660000,0,0,x,x,x,x,x,x,x,x,x,x,x,x
Floods in India,Flood,IND005,India,IND,1897103,821006000,22615000,1167000,x,x,1662,x,x,#N/A,x,797224000,21448000,1167000,0,0,2,x,x,1,1,0,0,0,2,0,0,3
Regional Kashmir conflict,Regional crisis,REG003,"India, Pakistan","IND, PAK",235533,16991000,16991000,x,x,x,308,x,x,#N/A,x,x,x,x,x,x,3,x,x,1,1,1,0,0,2,1,1,2
Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,x,x,x,36,x,x,#N/A,x,x,x,x,x,x,4,x,x,0,2,2,0,1,1,1,1,1
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,2951000,2951000,x,x,0,x,x,#N/A,x,21872000,0,951000,2000000,0,2,x,x,2,1,3,0,2,2,1,0,3
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,434120,38434000,6935000,6934000,x,x,1438,x,x,#N/A,133900,31499000,2646000,2400000,1889000,0,5,1500000,300000,1,2,1,0,0,3,1,3,2
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,434120,11000000,6691000,6691000,x,x,1438,x,x,#N/A,133900,4309000,2646000,2271000,1775000,0,5,1500000,300000,1,2,1,0,0,3,1,3,2
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40000,5135000,451000,243000,x,x,0,x,0,#N/A,x,4685000,0,337000,114000,0,5,x,0,0,2,0,0,0,1,0,3,0
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8505000,1377000,1377000,x,x,1,x,x,#N/A,x,7127000,735000,279000,363000,0,2,x,x,0,0,0,0,0,1,0,0,0
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,569140,51393000,11193000,611000,0,113000,120,0,0,#N/A,x,40200000,9714000,1367000,113000,0,3,x,x,0,0,0,0,0,1,0,1,1
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,123000,5216000,495000,495000,0,x,x,0,0,#N/A,x,4721000,0,495000,0,0,2,x,x,0,0,0,0,0,0,0,1,0
Drought in Kenya,Drought,KEN003,Kenya,KEN,569140,51393000,10698000,x,0,113000,x,0,0,#N/A,x,40695000,9714000,872000,113000,0,3,x,x,0,0,0,0,0,0,0,1,0
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,471098,42513000,233000,16000,x,x,237,x,x,#N/A,x,42280000,117000,116000,0,0,x,x,x,0,1,1,0,0,0,0,1,3
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10201.2,6849000,3027000,1527000,x,0,0,x,x,#N/A,x,3822000,2361000,180000,486000,0,2,x,x,1,0,1,0,1,2,0,2,2
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10201.2,6849000,4239000,x,x,x,0,x,x,#N/A,x,2609000,473000,2192000,1575000,0,3,x,x,1,2,2,0,2,3,0,3,0
Explosion in Beirut,Industrial Accidents,LBN005,Lebanon,LBN,1987.6,2200000,2200000,300000,6500,x,191,x,x,#N/A,x,0,1200000,1000000,0,0,4,x,x,1,2,2,0,2,3,0,0,1
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30400,1467000,1062000,x,0,0,0,0,0,#N/A,X,405000,480000,482000,100000,0,1,0,0,0,0,0,0,0,0,0,0,1
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",1821365,52142000,26810000,21000,0,0,47,0,0,#N/A,0,25331000,12633000,13565000,611000,0,5,#N/A,#N/A,0,0,0,0,0,0,3,0,2
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,6871000,1800000,1466000,x,x,692,x,x,#N/A,x,5071000,774000,108000,558000,360000,5,198000,633000,1,3,3,1,2,2,3,3,3
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,6871000,585000,585000,x,x,207,x,x,#N/A,x,6286000,261000,190000,131000,3000,2,79000,229000,1,3,3,1,2,2,3,3,3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,2276000,1604000,x,0,x,x,x,x,#N/A,x,672000,1050000,527000,27000,0,1,x,x,0,0,0,0,0,0,0,0,1
Floods in Madagascar,Flood,MDG004,Madagascar,MDG,76177,4345000,117000,16000,0,0,170,#N/A,#N/A,#N/A,#N/A,4228000,117000,0,0,0,2,#N/A,#N/A,0,0,0,0,0,0,0,0,1
Complex Country Crisis in Madagascar,Complex crisis,MDG005,Madagascar,MDG,76177,6621000,1732000,16000,0,0,169,#N/A,#N/A,#N/A,#N/A,4889000,1050000,655000,27000,0,2,#N/A,#N/A,0,0,0,0,0,0,1,0,1
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94276,17678000,8837000,0,0,0,33,x,x,#N/A,x,8841000,6219000,2618000,0,0,1,x,x,0,0,0,0,0,0,0,0,1
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,19806000,8200000,430000,x,44056,1607,X,X,#N/A,X,11606000,3900000,3818000,482000,0,5,X,X,0,2,1,3,2,2,3,3,3
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,72000,61000,61000,0,x,x,0,0,#N/A,x,11000,0,61000,0,0,2,x,x,0,0,0,0,0,0,0,0,2
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4145000,1476000,x,x,x,x,x,x,#N/A,x,2669000,800000,609000,66000,0,3,x,x,0,0,0,0,0,2,0,1,2
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1635481,92033000,x,584000,x,45472,x,X,X,#N/A,x,x,x,x,x,x,5,x,x,X,1,1,0,0,1,1,x,X
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1078234,70024000,x,351000,x,x,x,x,x,#N/A,x,x,x,x,x,x,4,x,x,x,1,1,0,x,1,x,x,x
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1437306,70840000,275000,275000,x,x,173,x,x,#N/A,x,x,x,x,x,x,3,x,x,x,1,1,0,1,1,1,x,x
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,56,0,0,#N/A,0,x,x,x,x,x,1,0,0,0,0,1,0,0,1,0,0,0
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,344602,5175000,4002000,344000,26,277460,1110,147000,143000,#N/A,773,3369000,729000,1077000,0,0,3,x,x,0,1,0,0,0,2,1,1,1
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,78778,2745000,712000,300000,x,0,599,x,x,#N/A,x,2033000,0,712000,0,0,2,x,x,0,1,0,0,0,2,1,1,1
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,344602,2430000,2430000,94000,0,0,x,#N/A,#N/A,#N/A,#N/A,1336000,729000,365000,0,0,3,#N/A,#N/A,0,0,0,1,0,0,1,0,1
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,289700,10395000,5124000,1292000,x,x,234,x,x,#N/A,x,5271000,4149000,366000,609000,0,3,x,x,2,3,1,0,3,3,3,1,3
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3882000,1563000,1187000,x,x,190,x,x,#N/A,x,2318000,809000,250000,504000,0,4,x,x,2,1,1,0,3,3,2,1,2
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843.1,6513000,3560000,105000,x,x,44,x,x,#N/A,x,2953000,3340000,115000,105000,0,3,x,x,2,3,1,0,1,2,3,1,3
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,823,2256000,1091000,0,0,0,x,#N/A,#N/A,#N/A,#N/A,1165000,651000,426000,14000,0,1,#N/A,#N/A,0,0,0,0,0,0,0,0,0
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,120339.54,6444000,417000,102000,x,17631,6,0,0,#N/A,1214,x,x,x,0,0,1,0,0,x,x,1,0,1,1,0,0,2
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23577000,23578000,538000,X,X,490,X,X,#N/A,X,19878000,0,3162000,538000,0,5,X,X,0,2,0,2,0,2,3,1,3
Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,738000,728000,266000,141012,X,179,X,X,#N/A,X,0,220000,252000,266000,0,5,X,X,0,2,0,0,0,2,2,1,3
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,7800000,965000,200000,X,X,220,X,X,#N/A,X,6835000,0,765000,200000,0,5,X,X,0,2,0,2,0,2,3,1,3
Nigerian Refugees,International displacement,NER004,Niger,NER,4929,656000,123000,93000,x,x,5,0,0,#N/A,0,533000,0,30000,93000,0,2,x,x,0,1,0,0,0,0,2,1,3
Floods in Niger,Flood,NER005,Niger,NER,1267000,23578000,516000,x,x,x,69,x,43667,#N/A,x,23061000,0,516000,0,0,5,x,x,0,2,0,2,0,2,3,1,3
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,56233000,7825000,2555000,x,x,2180,x,4300,#N/A,x,48407000,1936000,3006000,2884000,0,5,x,800000,1,3,3,3,2,2,3,1,2
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,409735,84154000,300000,x,x,x,291,x,x,#N/A,x,x,0,x,0,0,5,x,x,1,2,0,3,0,1,2,1,1
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,7900000,7150000,2179000,x,x,1046,x,4300,#N/A,x,751000,1936000,2331000,2884000,0,4,x,800000,1,2,3,0,1,2,3,1,3
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,30376000,317000,317000,x,x,952,500,10500,#N/A,49,30058000,0,317000,0,0,5,x,x,0,2,0,3,0,1,0,1,0
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,115769,17657000,59000,59000,x,x,x,x,x,#N/A,x,17598000,0,59000,0,0,2139,x,x,3,2,0,3,1,0,2,1,0
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",369002,13701000,11093000,3348000,x,x,1675,0,4300,#N/A,5200000,2608000,4352000,3234000,3385000,122000,5,x,800000,0.5,1.5,0.75,0.75,0.5,2,2.5,1.5,2.5
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,209594000,64359000,204000,x,x,763,x,x,#N/A,x,145236000,61320000,2021000,1018000,0,5,x,x,2,1,1,1,0,2,1,1,3
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,37,x,x,#N/A,x,x,x,x,x,x,3,x,x,2,1,1,0,0,2,1,1,2
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6020,5200000,5200000,6365000,719,x,9,160000,11422,#N/A,x,0,3000000,396000,858000,946000,4,x,4950000,2,3,3,1,2,3,3,1,2
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,178440,16328000,1098000,830000,x,x,3,0,0,#N/A,x,15443000,0,885000,0,0,2,0,0,0,0,0,0,0,1,0,0,2
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,171124,34270000,231000,231000,x,x,339,#N/A,#N/A,#N/A,x,34039000,0,231000,0,0,4,#N/A,#N/A,0,0,0,0,0,2,1,1,3
Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,24136000,152000,152000,x,x,339,x,x,#N/A,x,23985000,2000,151000,0,0,4,x,x,0,0,0,0,0,1,1,1,2
Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,138354,10134000,79000,79000,563,x,0,21681,25795,#N/A,x,10056000,0,79000,0,0,3,#N/A,#N/A,0,0,0,0,0,3,0,1,2
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,10646,4576000,149000,149000,x,x,x,0,0,#N/A,0,4427000,0,149000,0,0,2,0,0,0,0,0,2,0,0,0,0,0
Drought in Senegal,Drought,SEN002,Senegal,SEN,192530,16303000,2926000,x,0,0,0,0,0,#N/A,x,13377000,2489000,437000,0,0,4,0,0,0,0,0,2,0,0,0,1,0
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,627340,12300000,12300000,3939000,x,x,1629,x,x,#N/A,x,0,7100000,2060000,2400000,740000,5,x,x,1,3,2,3,2,3,2,2,2
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,28220,1261000,36000,36000,x,x,x,0,0,#N/A,0,1227000,0,2000,34000,0,2,x,x,1,3,2,3,2,2,2,2,2
Floods in Somalia,Flood,SOM004,Somalia,SOM,255047,5300000,536000,285000,x,x,17,x,x,#N/A,x,4764000,251000,285000,0,0,3,#N/A,#N/A,1,3,2,3,2,3,2,2,3
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,644000,11685000,11685000,3853000,x,600000,1494,x,x,#N/A,14369,0,4430000,5260000,1930000,10000,5,x,1500000,2,3,3,0,0,2,3,3,3
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,1840687,43000000,26600000,3200000,x,x,677,x,x,#N/A,x,16400000,17300000,4400000,1000000,3900000,5,x,x,2,2,2,2,2,2,2,2,3
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,15000,1326000,1326000,1100000,x,x,x,x,x,#N/A,x,0,226000,400000,500000,200000,2,#N/A,#N/A,2,3,2,2,0,x,2,2,3
Floods in Sudan ,Flood,SDN006,Sudan,SDN,1840687,43000000,875000,480000,54,x,155,92600,79400,#N/A,x,42140000,810000,50000,0,0,3,x,x,2,2,0,0,0,3,1,1,3
Syrian conflict,Complex crisis,SYR001,Syria,SYR,183630,17070000,17070000,12270000,x,x,2887,x,x,#N/A,x,0,5362000,1969000,8500000,1239000,5,x,1160000,2,3,3,3,3,2,3,3,3
