Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,77187,10896000,370000,370000,x,x,0,x,x,#N/A,x,10526000,0,370000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,23180,1182000,718000,37000,x,x,0,x,x,#N/A,x,464000,402000,216000,100000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,7300,676000,31000,31000,x,x,0,x,x,#N/A,x,645000,0,31000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1182000,687000,6000,x,x,0,x,x,#N/A,x,495000,402000,185000,100000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,48310,11229000,148000,148000,x,x,x,x,x,#N/A,x,11081000,28000,119000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,2381741,45783000,263000,263000,x,x,25,x,x,#N/A,x,45520000,0,263000,x,x,4,x,x,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,159000,223000,174000,x,x,x,0,x,x,#N/A,x,49000,84000,90000,x,x,2,0,0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,2381741,46006000,437000,263000,x,x,26,x,x,#N/A,x,45569000,84000,353000,x,x,3,x,x,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,248360,18001000,7592000,475000,x,x,0,x,x,#N/A,x,10409000,7189000,403000,x,x,3,x,x,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,91071.77,143409000,420000,420000,x,x,0,x,x,#N/A,x,142989000,0,420000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,101000,3775000,1100000,362000,0,x,x,x,x,#N/A,x,2675000,0,1100000,x,x,5,x,x,1.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,100000,47508000,48000,48000,x,x,122,x,x,#N/A,x,47460000,0,48000,x,x,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,42750,1395000,50000,50000,x,x,0,x,x,#N/A,x,1345000,0,50000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,1128571,127781000,86079000,3323000,x,2700000,2511,x,x,#N/A,4500000,41702000,57479000,28600000,0,0,4,x,10000,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0
International Displacement,Displacement,ETH003,Ethiopia,ETH,1128571,127781000,41979000,954000,x,x,x,x,x,#N/A,x,85802000,41025000,947000,0,0,3,0,0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,299000,30600000,30600000,1555000,x,59704,2511,#N/A,#N/A,#N/A,#N/A,0,21800000,8800000,0,0,4,0,210000,2.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,784308,62400000,24100000,814000,x,17252,24,x,x,#N/A,6850000,38300000,4000000,20100000,0,0,3,x,x,2.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,3.0
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,9776,558000,95000,95000,0,x,126,x,x,#N/A,x,463000,0,95000,x,x,2,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,107160,17300000,5000000,242000,x,7505,169,56769,33,#N/A,367600000,12300000,0,4550000,450000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,111890,9600000,3200000,247000,x,3232,301,414,414,#N/A,2258000000,6400000,0,1632000,1568000,0,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,27560,11400000,7500000,158000,1552,44642,477,77006,6643,#N/A,1500000000,3900000,2600000,2700000,1400000,800000,5,x,x,0.0,2.0,3.0,3.0,0.0,2.0,3.0,0.0,2.0
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,690000,17000,12763,33000,2248,83858,53815,#N/A,1500000000,5739000,40000,650000,0,0,3,x,x,0.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,12324,3667000,53000,53000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,3614000,0,53000,x,x,2,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,421991,5438000,5438000,100000,0,x,66,x,x,#N/A,x,0,5338000,100000,0,0,4,x,x,1.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,3.0
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,222236,14999000,x,321000,x,x,94,x,x,#N/A,x,14999000,x,x,x,x,x,x,x,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,239561,24823000,4477000,4477000,x,x,x,x,x,#N/A,x,20346000,0,1377000,3100000,0,2,x,x,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,383312,44496000,5580000,6626000,x,x,712,x,x,#N/A,133900,38916000,2800000,2407000,245000,128000,5,1500000,300000,1.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,383312,43682000,5300000,5988000,x,x,712,x,x,#N/A,133900,38382000,2800000,2150000,225000,125000,5,1500000,300000,1.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,36000,6451000,696000,280000,x,x,0,x,0,#N/A,x,5755000,416000,257000,20000,3000,5,x,0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,41055,58965000,151000,151000,x,x,1202,x,0,#N/A,x,58814000,0,151000,x,x,3,x,x,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,40463,9108000,1839000,1319000,x,x,4,x,x,#N/A,x,7269000,0,1443000,303000,92000,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,543630,29753000,29194000,668000,x,940000,x,0,0,#N/A,0,559000,27080000,1848000,266000,0,3,0,0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,38244,1182000,623000,623000,x,940000,x,0,0,#N/A,0,559000,0,623000,x,x,2,0,x,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
Drought in Kenya,Drought,KEN003,Kenya,KEN,543630,28571000,28571000,45000,x,940000,x,0,0,#N/A,0,0,27046000,1259000,266000,0,3,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
2023 Floods in Laos,Floods,LAO003,Laos,LAO,168750,5928000,110000,0,0,x,6,x,x,#N/A,7300000,5818000,89000,21000,0,0,2,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,10450,5700000,5700000,1500000,2,0,0,x,x,#N/A,x,0,4200000,790000,710000,0,2,x,x,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,10450,5700000,5700000,1848000,2,x,175,x,x,#N/A,x,0,1800000,3788000,112000,0,3,x,x,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,1759540,6908000,6908000,1633000,x,x,5208,2217,1127,#N/A,x,0,5743000,1165000,x,x,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,1759540,6908000,759000,759000,x,x,1202,x,x,#N/A,x,6149000,566000,193000,x,x,4,79000,229000,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,67827,2010000,2010000,43000,x,x,4352,2217,1127,#N/A,x,0,1126000,884000,x,x,5,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,62705,22037000,22037000,4000,6,x,5,x,x,#N/A,x,0,15022000,6015000,1000000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,62705,22037000,22037000,0,1,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,15037000,6000000,1000000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,4228,4429000,75000,4000,5,x,5,x,x,#N/A,x,4354000,60000,15000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,62610,2884000,51000,51000,x,x,0,x,x,#N/A,x,2833000,0,51000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,62230,1916000,32000,32000,x,x,0,x,x,#N/A,x,1883000,0,32000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,446300,37937000,2819000,519000,5500,x,3047,40579,19095,#N/A,x,35118000,2300000,519000,x,x,2,x,x,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,446300,37937000,19000,19000,x,x,122,0,0,#N/A,0,37918000,0,19000,x,x,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,53316,6600000,2800000,500000,5500,x,2946,40579,19095,#N/A,x,3800000,2300000,500000,x,x,2,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,32970,2706000,113000,113000,x,x,0,x,x,#N/A,x,2592000,0,113000,x,x,2,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,233094,8487000,8487000,53000,56,479000,17,30702,10300,#N/A,481,0,6197000,2211000,79000,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,6634000,4349000,8000,x,479000,0,x,x,#N/A,x,2285000,3026000,1244000,79000,0,1,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,233094,8487000,8487000,45000,56,0,17,7102,10300,#N/A,481,0,7520000,967000,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,1943950,118414000,607000,607000,x,x,4046,x,x,#N/A,x,117806000,487000,121000,0,0,5,x,x,0.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,1943950,118414000,379000,379000,x,x,3079,x,x,#N/A,x,118035000,379000,x,x,x,5,x,x,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,1159951,57925000,228000,228000,x,x,967,x,x,#N/A,x,57697000,108000,121000,0,0,3,x,x,0.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,1240190,21700000,12900000,1410000,2,44056,2307,x,1,#N/A,x,8800000,4100000,6800000,1800000,200000,6,x,x,0.0,3.0,2.0,3.0,0.0,3.0,3.0,1.0,3.0
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,676578,55960000,54860000,3140000,131,x,7324,276700,x,#N/A,2240000000,1100000,36838000,13349000,4673000,0,5,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,36778,3472000,3472000,1285000,0,x,17,x,x,#N/A,x,0,1800000,434000,1238000,0,4,x,x,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,3.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,149600,4873000,4873000,94000,0,x,888,x,x,#N/A,x,0,3400000,1165000,308000,0,3,x,x,2.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,490200,47615000,46515000,1761000,x,x,6274,x,x,#N/A,x,1100000,32138000,11250000,3127000,0,3,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,179353,10643000,500000,x,131,x,145,276700,x,#N/A,2240000000,10143000,0,500000,0,0,4,x,x,2.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,786380,34273000,12814000,979000,700,x,311,290330,200900,#N/A,0,21459000,9814000,3000000,x,x,3,x,x,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,280615,11584000,11584000,939000,x,x,128,x,x,#N/A,x,0,9584000,2000000,0,0,3,x,x,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,598856,18025000,1231000,40000,698,x,183,283000,199000,#N/A,x,16794000,231000,1000000,x,x,2,x,x,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,206000,5102000,5102000,13000,0,x,0,0,0,#N/A,x,0,5089000,13000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,1030700,3543000,1295000,x,x,136000,0,x,x,#N/A,x,2248000,823000,444000,28000,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,94080,19692000,10569000,103000,2186,58982,1789,260681,120394,#N/A,506.7,9123000,6167000,4136000,266000,0,3,0,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,31780,7751000,2300000,659000,2178,0,1200,260681,120394,#N/A,506.7,5451000,663000,1637000,0,0,2,0,0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,9206,10090000,10090000,184000,x,#N/A,0,#N/A,#N/A,#N/A,#N/A,0,9906000,184000,0,0,3,#N/A,#N/A,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,823290,2642000,1638000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1004000,943000,630000,65000,0,1,#N/A,#N/A,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,409324,12540000,3141000,693000,5,x,545,x,x,#N/A,x,9399000,0,1756000,1385000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,156906,788000,315000,287000,141012,x,34,x,x,#N/A,x,220000,0,57000,512000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0
