INFORM Severity Index - all countries. Release: February 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.7,4,High,Decreasing,Low,3.9,4.6,3.4,4.5,5,4,2.4,2.8,2,Asia,2020-11-30 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,4,4,High,Stable,Very High,3.8,3.4,4,4.5,4,5,3.2,2.2,4,Middle east,2021-02-27 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,1.9,2,Low,Stable,Medium,2.6,2.1,2.8,1.45,1.9,1,2.1,2.6,1.5,Africa,2021-01-29 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,Complex crisis,4.3,5,Very High,Decreasing,Very High,4.3,4.8,4,4.5,5,4,4,4,4,Africa,2021-02-25 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Medium,2.7,4.5,1.2,2.4,2.8,2,2.2,1.8,2.5,Africa,2021-01-29 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3,3,Medium,Increasing,High,3.6,3.8,3.5,3,3,3,2.5,2.4,2.5,Americas,2021-01-28 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4,4,High,Decreasing,High,4.7,4.6,4.8,3.45,3.9,3,4.2,3.9,4.5,Africa,2020-11-29 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.3,5,Very High,Decreasing,High,4.7,4.6,4.7,4.45,4.9,4,3.6,3.7,3.5,Africa,2021-02-22 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.7,3,Medium,Stable,Medium,2.2,3.1,1.6,3.3,2.6,4,2.1,3,1,Africa,2021-02-25 00:00:00
Syrian conflict,SYR001,Syria,SYR,Complex crisis,4.9,5,Very High,Decreasing,Very High,4.8,4.5,4.9,5,5,5,4.8,4.5,5,Middle east,2021-02-27 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,Multiple crises country,4.1,5,Very High,Stable,High,3.9,4.8,3.3,4.35,4.7,4,3.7,3.4,4,Africa,2021-02-19 00:00:00
Multiple situations in Thailand,THA001,Thailand,THA,Multiple crises country,2,2,Low,Decreasing,High,2.7,1.2,3.3,1.3,1.6,1,2.3,2.6,2,Asia,2021-02-23 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.8,2,Low,Increasing,Medium,2.6,2.9,2.4,1.15,1.3,1,2,1.9,2,Americas,2020-11-29 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,4,4.3,3.9,x,x,x,1.7,2.3,1,Africa,2020-11-27 00:00:00
Complex situation in Turkey,TUR001,Turkey,TUR,Multiple crises country,3.2,4,High,Stable,High,3.5,3.8,3.4,2.95,3.9,2,3.4,3.3,3.5,Middle east,2021-02-27 00:00:00
International Displacement in Tanzania,TZA002,Tanzania,TZA,International displacement,1.7,2,Low,Decreasing,High,2,2.3,1.9,1.7,2.4,1,1.6,1.7,1.5,Africa,2021-01-29 00:00:00
Multiple crises in Uganda,UGA001,Uganda,UGA,Multiple crises country,3.1,4,High,Increasing,High,3.1,2.9,3.2,3.3,3.6,3,2.8,3,2.5,Africa,2020-11-29 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,3.5,4,High,Stable,High,3.2,1.7,3.7,4.1,4.2,4,2.6,2.1,3,Europe,2020-12-22 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.1,5,Very High,Stable,High,5,4.9,5,4,5,3,3.3,3.6,3,Americas,2021-01-28 00:00:00
Floods in central Vietnam,VNM002,Vietnam,VNM,Flood,2.9,3,Medium,Increasing,High,2.9,1.9,3.3,3.15,3.3,3,2.5,3.3,1.5,Asia,2021-02-04 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.6,5,Very High,Stable,Medium,4.9,4.9,4.9,4.5,5,4,4.5,3.8,5,Middle east,2020-10-19 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.7,3,Medium,Decreasing,Medium,2.4,3.1,2,3.35,3.7,3,1.7,1.8,1.5,Africa,2020-12-17 00:00:00
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,Complex crisis,3.5,4,High,Decreasing,Very High,3.2,4.6,2.2,3.85,4.7,3,3.2,2.9,3.5,Africa,2021-01-29 00:00:00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
