Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
Floods in rainy season 2022,Flood,BRA003,Brazil,BRA,1197523,52770000,953000,99000,717,#N/A,212,#N/A,#N/A,#N/A,#N/A,51816000,854000,99000,0,0,2,#N/A,#N/A,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1882000,x,x,1245,x,x,#N/A,x,0,2100000,900000,1900000,0,5,x,x,1.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,3.0
Venezuela displacement in Chile,International displacement,CHL002,Chile,CHL,46424,10976000,616000,452000,x,x,14,#N/A,#N/A,#N/A,#N/A,10359000,135000,481000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,440640,25876000,4343000,2009000,150,x,670,x,x,#N/A,x,21533000,343000,2000000,2000000,0,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,3112000,1200000,580000,x,x,212,x,x,#N/A,5.2,1912000,0,917000,284000,0,5,x,x,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,89005,9470000,1568000,1117000,x,x,286,x,x,#N/A,x,7902000,11000,1048000,509000,0,4,x,377500,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,201932,5658000,758000,347000,0,x,x,0,0,#N/A,x,4900000,121000,637000,0,0,3,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,2267048,27000000,25500000,10098000,x,x,2918,x,x,#N/A,1700,1500000,9500000,12500000,2900000,600000,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,341500,5599000,1200000,295000,x,x,x,x,x,#N/A,x,4399000,0,1200000,0,0,5,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,1142000,510000000,11100000,454000,155,x,464,x,1607,#N/A,x,39900000,3400000,4507000,2900000,293000,5,1800000,11500,0.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,133358,22963000,5510000,1842000,x,x,362,x,x,#N/A,x,17453000,679000,4831000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,4966,1730000,86000,86000,0,0,0,0,0,#N/A,0,1644000,43000,43000,0,0,2,0,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Multiple crises in Djibouti,Multiple crises country,DJI001,Djibouti,DJI,23180,1023000,618000,36000,x,x,0,x,x,#N/A,x,405000,389000,202000,27000,0,5,x,x,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration in Djibouti,International displacement,DJI002,Djibouti,DJI,23180,1023000,36000,36000,x,x,0,0,0,#N/A,0,988000,0,36000,0,0,3,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1023000,583000,x,0,x,0,0,0,#N/A,x,440000,389000,167000,27000,0,5,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Venezuela displacement in Dominican Republic,International displacement,DOM002,Dominican Republic,DOM,48300,10800000,131000,121000,x,x,x,#N/A,#N/A,#N/A,#N/A,10669000,31000,99000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed migration flows in Algeria,International displacement,DZA002,Algeria,DZA,2381000,43100000,x,x,x,x,849,0,0,#N/A,x,x,x,x,x,x,2,x,x,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Sahrawi refugees in Algeria,International displacement,DZA003,Algeria,DZA,159000,223000,174000,174000,x,x,0,x,x,#N/A,x,49000,84000,90000,0,0,1,0,0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Multiple crises in Algeria,Multiple crises country,DZA004,Algeria,DZA,2381000,43100000,x,x,x,x,651,x,x,#N/A,x,x,x,x,x,x,2,x,x,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Venezuela displacement in Ecuador,International displacement,ECU002,Ecuador,ECU,3449,7592000,1013000,416000,x,x,1,x,x,#N/A,x,6579000,140000,873000,0,0,2,x,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
Syrian Refugee Crisis in Egypt,International displacement,EGY002,Egypt,EGY,91071.77,23300000,1439000,503000,x,x,0,x,x,#N/A,x,21861000,936000,165000,338000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,101000,3227000,2582000,314000,x,x,0,x,x,#N/A,x,645000,0,2582000,0,0,5,x,x,3.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,92610,11983000,115000,115000,x,x,131,x,x,#N/A,x,11868000,0,115000,0,0,2,x,x,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1063652,103700000,103700000,6450000,0,0,6270,x,x,#N/A,x,0,80200000,925000,17150000,5425000,4,0,10000,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
International Displacement,International displacement,ETH003,Ethiopia,ETH,1063652,103700000,17744000,837000,0,0,24,x,x,#N/A,x,86000000,16863000,837000,0,0,3,0,0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0
Northern Ethiopia Conflict,Conflict,ETH004,Ethiopia,ETH,311484,30500000,30500000,2173000,0,0,3322,#N/A,#N/A,#N/A,#N/A,0,21100000,6899000,2100000,401000,4,0,210000,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,618190,62500000,6400000,175000,x,x,0,x,x,#N/A,x,56100000,6225000,175000,0,0,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,414000,169000,169000,0,x,8,x,x,#N/A,x,245000,151000,18000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,108889,17100000,5700000,242000,x,x,2960,0,0,#N/A,x,11400000,1900000,3300000,174000,326000,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111900,9400000,4000000,245000,x,113000,1909,x,x,#N/A,12965,5400000,706000,2679000,615000,0,3,x,x,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,27166,10898000,6950000,180000,0,0,2208,52953,52953,#N/A,x,3948000,1900000,2550000,1500000,1000000,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,12851,6429000,800000,160000,12268,9915,2189,92821,61689,#N/A,x,5629000,150000,650000,0,0,3,x,x,0.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,3.0
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,147.5,638000,522000,522000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,116000,522000,0,0,0,2,#N/A,#N/A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Papua Conflict,Conflict,IDN002,Indonesia,IDN,416060,3594000,3594000,100000,x,x,122,x,x,#N/A,x,3494000,0,100000,0,0,4,x,x,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,222236,12541000,x,x,x,x,173,x,x,#N/A,x,12541000,x,x,x,x,x,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,239561,24823000,3400000,3400000,x,x,0,x,x,#N/A,x,21423000,0,800000,2600000,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,435052,41191000,6393000,8493000,x,x,1238,x,x,#N/A,133900,34796000,3686000,1366000,875000,468000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,435052,41191000,6139000,8239000,x,x,1238,x,x,#N/A,133900,35052000,3686000,1284000,721000,448000,5,1500000,300000,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,40643,5147000,488000,256000,x,x,0,x,0,#N/A,x,4661000,0,314000,154000,20000,5,x,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,41054,7012000,208000,208000,x,x,696,x,0,#N/A,x,6804000,0,208000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,40463,8708000,1838000,1318000,x,x,0,x,x,#N/A,x,6870000,1149000,530000,159000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,519240,16826000,15753000,544000,0,0,0,0,0,#N/A,0,1073000,12109000,3144000,500000,0,2,0,0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,38244,1103000,544000,544000,0,0,0,0,0,#N/A,0,559000,0,544000,0,0,2,0,x,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
Drought in Kenya,Drought,KEN003,Kenya,KEN,519240,16826000,15668000,0,0,0,0,0,0,#N/A,0,1158000,12568000,2600000,500000,0,2,0,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10450,6825000,3028000,1528000,x,0,0,x,x,#N/A,x,3798000,1500000,765000,718000,45000,2,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10450,6825000,3798000,x,x,x,57,x,x,#N/A,x,3028000,370000,2019000,1364000,45000,3,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,8200000,1500000,1528000,x,x,714,x,x,#N/A,x,6700000,700000,792000,8000,0,5,198000,633000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,8200000,516000,663000,x,x,701,x,x,#N/A,x,7021000,241000,271000,4000,0,2,79000,229000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30355,1476000,866000,x,0,0,0,0,0,#N/A,x,610000,528000,312000,26000,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,169,0,0,#N/A,0,x,x,x,x,x,1,0,0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,1595,498000,389000,389000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,109000,389000,0,0,0,2,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,581800,27000000,4509000,25000,x,x,392,28020,14597,#N/A,x,22491000,2850000,1325000,334000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,6348000,3549000,3000,0,x,100,x,x,#N/A,x,2799000,1912000,1303000,334000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,581800,27000000,960000,22000,x,x,206,28020,14597,#N/A,x,26040000,938000,22000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1964375,124227000,321000,82000,x,x,301,x,x,#N/A,x,124227000,321000,x,x,x,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1964375,128972000,357000,357000,x,x,3454,x,x,#N/A,x,124227000,321000,x,x,x,4,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1964375,129673000,795000,82000,x,x,301,x,x,#N/A,x,128878000,739000,56000,0,0,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,20402000,11712000,1147000,x,44056,1047,x,1,#N/A,x,8691000,5812000,3700000,2200000,0,5,x,x,0.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,692711,54980000,20812000,2048000,x,x,10677,x,x,#N/A,x,39568000,1012000,7289000,6960000,151000,4,x,x,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3659000,2559000,1381000,x,x,38,x,x,#N/A,x,1100000,1012000,0,1547000,0,4,x,x,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843,8393000,8393000,109000,x,x,617,x,x,#N/A,x,5400000,0,777000,2065000,151000,3,x,x,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,403011,42928000,9860000,558000,x,x,10022,x,x,#N/A,x,33068000,0,6512000,3348000,0,3,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,550263,20399000,10562000,779000,289,x,597,106604,13365,#N/A,1700000,9837000,8395000,2143000,24000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,280615,10302000,10302000,745000,x,0,498,x,x,#N/A,x,0,8764000,1514000,24000,0,3,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,471485,18066000,698000,34000,289,x,99,106604,13365,#N/A,1700000,17368000,0,698000,0,0,4,#N/A,#N/A,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,95000,85000,85000,0,x,0,0,0,#N/A,x,11000,0,85000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4164000,4532000,x,x,x,0,x,x,#N/A,x,2632000,1036000,476000,0,0,3,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94280,19129000,990000,190000,206,0,46,x,x,#N/A,x,16010000,800000,190000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,94548,17000000,414000,78000,147,x,32,x,x,#N/A,x,16586000,336000,78000,0,0,2,116000,x,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,9395,3815000,182000,182000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,3633000,0,182000,0,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,824292,2551000,1587000,0,0,0,0,#N/A,#N/A,#N/A,#N/A,964000,836000,632000,119000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,1267000,23800000,3882000,582000,x,x,623,x,x,#N/A,x,19918000,60000,3648000,173000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Boko Haram in Niger,Conflict,NER002,Niger,NER,156906,949000,293000,237000,141012,x,123,x,x,#N/A,x,656000,1000,272000,20000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,210600,8400000,1356000,224000,x,x,472,x,x,#N/A,x,7044000,9000,1310000,36000,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0
Nigerian Refugees,International displacement,NER004,Niger,NER,8616,1328000,704000,187000,x,x,16,0,0,#N/A,0,624000,0,662000,42000,0,2,x,x,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,909890,206140000,19346000,5309000,x,x,5117,x,4300,#N/A,x,186794000,6211000,10699000,2352000,84000,5,x,800000,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,181664,15532000,982000,380000,x,x,453,x,x,#N/A,x,14550000,0,982000,0,0,5,x,x,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,157918,14611000,14611000,4372000,x,x,1395,x,4300,#N/A,x,0,6211000,5964000,2352000,84000,4,x,800000,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,3.0
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,237708,35593000,3679000,485000,x,x,471,500,10500,#N/A,49,31914000,0,3679000,0,0,5,x,x,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,108688,12675000,69000,69000,x,x,0,x,x,#N/A,x,12606000,0,69000,0,0,2139,x,x,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,121428,6444000,417000,102000,x,17631,3,0,0,#N/A,1214,x,x,x,0,0,1,0,0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,770880,229489000,68843000,21660000,x,x,706,x,x,#N/A,x,160646000,57843000,9909000,1092000,0,5,x,x,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4450000,x,x,x,x,1,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,74200,122000,96000,4000,x,x,15,0,0,#N/A,x,26000,2000,94000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,205094,10669000,2063000,1050000,x,x,x,0,0,#N/A,x,8606000,368000,1695000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,232534.48,44915000,12106000,309000,1147,x,491,1694960,424140,#N/A,66000000000,32809000,9438000,2667000,0,0,4,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Mindanao conflict,Conflict,PHL003,Philippines,PHL,138354,26252000,267000,267000,x,x,86,x,x,#N/A,x,25985000,0,267000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,195883.53,18662000,11838000,41000,1147,x,405,1694960,424140,#N/A,66000000000,6824000,9438000,2400000,0,0,4,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Displacement from Ukraine conflict in Poland,International displacement,POL002,Poland,POL,147500,2694000,2362000,2362000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,332000,2362000,0,0,0,2,#N/A,#N/A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,120410,25666000,25666000,34000,x,x,2,x,x,#N/A,x,0,15120000,4970000,5459000,0,1,x,x,2.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,6025,5355000,4712000,6401000,4112,x,34,160000,11422,#N/A,x,643000,2356000,2035000,321000,0,4,x,4950000,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",369002,19217000,13183000,5158000,x,x,1833,0,4300,#N/A,5200000,6035000,4223000,4636000,4201000,122000,5,x,800000,1.0,3.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",1600014,91641000,37585000,10683000,x,x,82332,0,0,#N/A,x,54056000,15092000,22493000,0,0,4,x,x,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0
