Country,Crisis,Crisis ID,ISO3 code,Region,Drivers,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
Eritrea,Complex crisis in Eritrea,ERI001,ERI,Africa,"Socio-political,Displacement",Complex crisis,Yes,Individual,,,
Spain,Mixed migration flows in Spain,ESP002,ESP,Europe,Displacement,Mixed Migration,Yes,Individual,,,
Estonia,Displacement from Russia-Ukraine conflict in Estonia,EST002,EST,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Ethiopia,Complex crisis in Ethiopia,ETH001,ETH,Africa,"Displacement,Floods,Conflict",Complex crisis,Yes,Individual,,,
Ethiopia,International Displacement,ETH003,ETH,Africa,Displacement,International Displacement,No,Individual,,,
Ethiopia,Northern Ethiopia Conflict,ETH004,ETH,Africa,"Conflict,Displacement",Northern Ethiopia Conflict,No,Individual,,,
Ethiopia,Drought in Ethiopia,ETH005,ETH,Africa,Drought,Drought,No,Individual,,,
Greece,Mixed migration flows in Greece,GRC002,GRC,Europe,Displacement,Mixed Migration,Yes,Individual,,,
Guatemala,Complex crisis in Guatemala,GTM001,GTM,Americas,"Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
Honduras,Complex crisis in Honduras,HND001,HND,Americas,"Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
Haiti,Complex crisis in Haiti,HTI001,HTI,Americas,"Earthquake,Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
Hungary,Displacement from Russia-Ukraine conflict in Hungary,HUN002,HUN,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Indonesia,Papua Conflict,IDN002,IDN,Asia,"Socio-political,Violence",Papua Conflict,Yes,Individual,,,
Iran,Afghan Refugees in Iran,IRN004,IRN,Middle east,Displacement,Afghan Refugees,Yes,Individual,,,
Iraq,Multiple crises in Iraq,IRQ001,IRQ,Middle east,"Violence,Displacement,Socio-political,Conflict",Country level,Yes,Aggregated,,,
Iraq,Conflict  in Iraq,IRQ002,IRQ,Middle east,"Conflict,Socio-political,Violence",Conflict,No,Individual,,,
Iraq,Syrian and Palestinian refugees in iraq,IRQ003,IRQ,Middle east,Displacement,Syrian Refugees,No,Individual,,,
Italy,Mixed migration flows in Italy,ITA002,ITA,Europe,Displacement,Mixed Migration,Yes,Individual,,,
Jordan,Syrian refugees in Jordan,JOR002,JOR,Middle east,Displacement,Syrian refugees,Yes,Individual,,,
Kenya,Multiple crisis in Kenya ,KEN001,KEN,Africa,"Drought,Displacement",Country level ,Yes,Aggregated,,,
Kenya,Refugee situation in Kenya,KEN002,KEN,Africa,Displacement,Refugee situation,No,Individual,,,
Kenya,Drought in Kenya,KEN003,KEN,Africa,Drought,Drought,No,Individual,,,
Lebanon,Syrian refugees in Lebanon,LBN002,LBN,Middle east,Displacement,Syrian refugees,No,Individual,,,
Lebanon,Complex crisis in Lebanon,LBN006,LBN,Middle east,"Socio-political,Violence,Tecnological Disaster,Displacement",Complex crisis,Yes,Individual,,,
Libya,Complex crisis in Libya,LBY001,LBY,Africa,"Conflict,Displacement,Socio-political",Complex crisis,Yes,Individual,,,
Libya,Mixed migration flows in Libya,LBY002,LBY,Africa,Displacement,Mixed Migration,No,Individual,,,
Libya,Storm Daniel and floods in Libya,LBY003,LBY,Africa,"Floods,Other seasonal event",Storm Daniel and floods,No,Individual,,,
Sri Lanka,Socio-economic crisis in Sri Lanka,LKA002,LKA,Asia,"Socio-political,Food Security",Socio-economic crisis,Yes,Individual,,,
Lithuania,Displacement from Russia-Ukraine conflict in Lithuania,LTU002,LTU,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Latvia,Displacement from Russia-Ukraine conflict in Latvia,LVA002,LVA,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Morocco,Multiple crises in Morocco,MAR001,MAR,Africa,"Displacement,Earthquake",Multiple crises,Yes,Aggregated,,,
Morocco,Mixed migration flows in Morocco,MAR002,MAR,Africa,Displacement,Mixed Migration,No,Individual,,,
Morocco,Al Haouz Earthquake in Morocco,MAR003,MAR,Africa,Earthquake,Al Haouz Earthquake,No,Individual,,,
Moldova,DIsplacement from Russia-Ukraine conflict in Moldova,MDA002,MDA,Europe,"Displacement,Conflict",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Madagascar,Multiple crisis in Madagascar,MDG001,MDG,Africa,"Drought,Cyclone",Country level,Yes,Aggregated,,,
Madagascar,Drought in Madagascar,MDG002,MDG,Africa,Drought,Drought,No,Individual,,,
Madagascar,Cyclone Gamane in Madagascar,MDG009,MDG,Africa,"Cyclone,Floods",Cyclone Gamane,No,Individual,,,
Mexico,Multiple crisis in Mexico,MEX001,MEX,Americas,"Violence,Displacement",Country Level,Yes,Aggregated,,,
Mexico,Criminal Violence in Mexico,MEX002,MEX,Americas,"Violence,Displacement",Criminal Violence,No,Individual,,,
Mexico,Mixed Migration in Mexico,MEX003,MEX,Americas,Displacement,Mixed Migration,No,Individual,,,
Mali,Complex crisis in Mali,MLI001,MLI,Africa,Conflict,Complex crisis,Yes,Individual,,,
Myanmar,Multiple crises in Myanmar,MMR001,MMR,Asia,"Socio-political,Conflict,Violence",Country level,Yes,Aggregated,,,
Myanmar,Rakhine Conflict,MMR002,MMR,Asia,Conflict,Rakhine conflict,No,Individual,,,
Myanmar,Kachin and Shan Conflict,MMR003,MMR,Asia,Conflict,Kachin and Shan conflict,No,Individual,,,
Myanmar,Post-coup conflict in Myanmar,MMR004,MMR,Asia,"Violence,Socio-political,Conflict",Post-coup conflict,No,Individual,,,
Mongolia,2024 Dzud,MNG004,MNG,Asia,Other seasonal event,2024 Dzud in Mongolia,Yes,Individual,,,
Mozambique,Multiple Crises in Mozambique,MOZ001,MOZ,Africa,"Conflict,Displacement,Cyclone",Multiple Crises,Yes,Aggregated,,,
Mozambique,Cabo Delgado Islamist Insurgency,MOZ004,MOZ,Africa,"Conflict,Displacement",Violent Insurgency in Cabo Delgado,No,Individual,,,
Mozambique,2024 Rainy and Cyclone season,MOZ011,MOZ,Africa,"Floods,Displacement,Cyclone",2024 Rainy and Cyclone season,No,Individual,,,
Mauritania,Refugees from Mali in Mauritania,MRT002,MRT,Africa,Displacement,Malian refugees,No,Individual,,,
Mauritania,Food Security in Mauritania,MRT003,MRT,Africa,"Drought,Floods",Food security,Yes,Individual,,,
Malawi,Complex crisis in Malawi,MWI002,MWI,Africa,"Drought,Socio-political,Cyclone",Complex,Yes,Individual,,,
Malaysia,International Refugees in Malaysia,MYS001,MYS,Asia,Displacement,International Refugees,Yes,Individual,,,
Namibia,Food Security Crisis in Namibia,NAM002,NAM,Africa,Drought,Food Security Crisis,Yes,Individual,,,
Niger,Multiple crises in Niger,NER001,NER,Africa,"Conflict,Displacement",Country level,Yes,Aggregated,,,
Niger,Lake Chad basin crisis in Niger,NER002,NER,Africa,Conflict,Lake Chad basin crisis,No,Individual,,,
Niger,Mali/Burkina Faso conflict,NER003,NER,Africa,Conflict,Cross-border violence ,No,Individual,,,
Niger,Nigerian Refugees,NER004,NER,Africa,Displacement,Nigerian Refugees,No,Individual,,,
Nigeria,Complex crisis in Nigeria,NGA001,NGA,Africa,"Conflict,Displacement,Violence",Complex crisis,Yes,Individual,,,
Nigeria,Middle belt conflict,NGA003,NGA,Africa,Violence,Middle Belt,No,Individual,,,
Nigeria,Lake Chad basin crisis in Nigeria,NGA004,NGA,Africa,"Conflict,Displacement",Lake Chad basin crisis,No,Individual,,,
Nigeria,Northwest Banditry,NGA007,NGA,Africa,"Violence,Displacement",Northwest Banditry,No,Individual,,,
Nigeria,Cameroonian Refugees in Nigeria,NGA008,NGA,Africa,Displacement,Cameroonian Refugees,No,Individual,,,
Nicaragua,Socioeconomic crisis in Nicaragua,NIC001,NIC,Americas,Socio-political,Socioeconomic crisis,Yes,Individual,,,
Nepal,Karnali Earthquake,NPL003,NPL,Asia,Earthquake,Karnali Earthquake,Yes,Individual,,,
Pakistan,Complex crisis in Pakistan,PAK001,PAK,Asia,"Displacement,Conflict",Complex crisis,Yes,Individual,,,
Pakistan,Kashmir conflict in Pakistan,PAK004,PAK,Asia,Conflict,Kashmir conflict,No,Individual,,,
Pakistan,Floods in Pakistan ,PAK005,PAK,Asia,Other seasonal event,Monsoon floods 2022,No,Individual,,,
Panama,Venezuela displacement in Panama,PAN002,PAN,Americas,Displacement,Venezuelan refugees,Yes,Individual,,,
Peru,Venezuela displacement in Peru,PER002,PER,Americas,Displacement,Venezuelan refugees,Yes,Individual,,,
Philippines,Mindanao conflict,PHL003,PHL,Asia,"Conflict,Violence",Mindanao Conflict,Yes,Individual,,,
Papua New Guinea,Highlands Violence,PNG003,PNG,Pacific,Violence,Highlands Violence,Yes,Individual,,,
Poland,Displacement from Russia-Ukraine conflict in Poland,POL002,POL,Europe,"Displacement,Conflict",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
DPRK,Complex crisis in DPRK,PRK001,PRK,Asia,"Socio-political,Floods,Other seasonal event,Food Security",Complex crisis,Yes,Individual,,,
Palestine,Conflict in Palestine,PSE002,PSE,Middle east,"Conflict,Socio-political,Violence",Conflict,Yes,Aggregated,,,
Palestine,Conflict in West Bank,PSE003,PSE,Middle east,"Conflict,Displacement,Socio-political,Violence",Conflict in West Bank,No,Individual,,,
Palestine,Conflict in Gaza,PSE004,PSE,Middle east,"Conflict,Displacement,Socio-political,Violence",Conflict in Gaza,No,Individual,,,
"Nigeria,Niger,Chad,Cameroon",Lake Chad basin regional crisis,REG001,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",,Lake Chad basin regional crisis,No,Individual,,,
"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama",Venezuela Regional Crisis,REG002,"VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN","Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas",,Venezuela Regional Crisis,No,Individual,,,
"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon",Syrian Regional Crisis,REG004,"SYR,TUR,IRQ,EGY,JOR,LBN","Middle east,Middle east,Middle east,Africa,Middle east,Middle east",,Syrian Regional Crisis,No,Individual,,,
"Türkiye,Greece",Eastern Mediterranean Route ,REG006,"TUR,GRC","Middle east,Europe",,Eastern Mediterranean Route ,No,Individual,,,
"Algeria,Tunisia,Libya,Italy",Central Mediterranean Route,REG007,"DZA,TUN,LBY,ITA","Africa,Africa,Africa,Europe",,Central Mediterranean Route,No,Individual,,,
"Algeria,Morocco,Spain",Western Mediterranean Route,REG008,"DZA,MAR,ESP","Africa,Africa,Europe",,Western Mediterranean Route,No,Individual,,,
"Bangladesh,Myanmar",Rohingya Regional Crisis,REG011,"BGD,MMR","Asia,Asia",,Rohingya Regional Crisis,No,Individual,,,
"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania",Southern Africa Regional Food Security Crisis,REG012,"LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA","Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa",,Southern Africa Regional Food Security Crisis,No,Individual,,,
"Armenia,Azerbaijan",Nagorno-Karabakh Conflict,REG013,"ARM,AZE","Middle east,Middle east",,Regional Nagorno-Karabakh Conflict,No,Individual,,,
"Ethiopia,Somalia,Kenya",Eastern Africa Regional Drought Crisis,REG014,"ETH,SOM,KEN","Africa,Africa,Africa",Drought,Eastern Africa Regional Drought Crisis,No,Individual,,,
"Türkiye,Syria",Turkiye / Syria earthquake,REG015,"TUR,SYR","Middle east,Middle east",Earthquake,Turkiye / Syria earthquake (regional crisis),No,Individual,,,
Romania,Displacement from Russia-Ukraine conflict in Romania,ROU002,ROU,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Russia,Displacement from Russia-Ukraine conflict in Russia,RUS002,RUS,Europe,"Conflict,Displacement",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Rwanda,Burundi and DRC refugees in Rwanda,RWA002,RWA,Africa,Displacement,Refugees,Yes,Individual,,,
Sudan,Complex crisis in Sudan,SDN001,SDN,Africa,"Displacement,Violence,Floods",Complex crisis,Yes,Individual,,,
Sudan,Refugees in Sudan,SDN005,SDN,Africa,Displacement,Refugees,No,Individual,,,
Senegal,Drought in Senegal,SEN002,SEN,Africa,Drought,Drought,Yes,Individual,,,
El Salvador,Complex crisis in El Salvador,SLV001,SLV,Americas,"Displacement,Violence,Floods,Drought",Complex crisis,Yes,Individual,,,
Somalia,Complex crisis in Somalia,SOM001,SOM,Africa,"Conflict,Displacement,Floods,Drought",Complex crisis,Yes,Individual,,,
Somalia,Mixed Migration Flows in Somalia,SOM002,SOM,Africa,Displacement,Mixed Migration,No,Individual,,,
South Sudan,Complex crisis in South Sudan,SSD001,SSD,Africa,"Conflict,Floods,Displacement",Complex crisis,Yes,Individual,,,
Slovakia,Displacement from Russia-Ukraine conflict in Slovakia,SVK002,SVK,Europe,"Displacement,Conflict",Displacement from Russia-Ukraine conflict,Yes,Individual,,,
Eswatini,Food Security Crisis in Eswatini,SWZ001,SWZ,Africa,Drought,Food Security Crisis,Yes,Individual,,,
Syria,Syrian conflict,SYR001,SYR,Middle east,"Conflict,Displacement,Violence",Conflict,Yes,Individual,,,
Syria,Türkiye / Syria earthquake in Syria,SYR002,SYR,Middle east,Earthquake,Türkiye / Syria earthquake,No,Individual,,,
Chad,Complex crisis in Chad,TCD001,TCD,Africa,"Conflict,Displacement",Complex crisis,Yes,Individual,,,
Chad,Lake Chad basin crisis,TCD003,TCD,Africa,Conflict,Lake Chad basin crisis,No,Individual,,,
Chad,CAR refugees in Chad,TCD004,TCD,Africa,Displacement,CAR refugees,No,Individual,,,
Chad,Darfur refugees in Chad,TCD005,TCD,Africa,Displacement,Darfur refugees,No,Individual,,,
Togo,Conflict in northern region,TGO002,TGO,Africa,"Conflict,Displacement,Violence",Conflict in northern region in Togo,Yes,Individual,,,
Thailand,Myanmar refugees in Thailand,THA003,THA,Asia,Conflict,Refugees,Yes,Individual,,,
Timor Leste,Food Security Crisis in Timor-Leste,TLS003,TLS,Asia,Food Security,Food Security Crisis,Yes,Individual,,,
Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO002,TTO,Americas,Displacement,Venezuelan refugees,Yes,Individual,,,
Tunisia,Mixed migration flows in Tunisia,TUN002,TUN,Africa,Displacement,Mixed Migration,Yes,Individual,,,
Türkiye,Complex situation in Türkiye,TUR001,TUR,Middle east,"Displacement,Conflict",Country level,Yes,Aggregated,,,
Türkiye,Syrian Refugees in Türkiye,TUR002,TUR,Middle east,Displacement,Syrian refugees,No,Individual,,,
Türkiye,Mixed Migration Flows in Türkiye,TUR003,TUR,Middle east,Displacement,Mixed Migration,No,Individual,,,
Türkiye,Kurdish Conflict,TUR004,TUR,Middle east,Conflict,Kurdish conflict,No,Individual,,,
Türkiye,Türkiye / Syria earthquake in Türkiye,TUR005,TUR,Middle east,Earthquake,Türkiye / Syria earthquake,No,Individual,,,
Tanzania,Multiple Crises in Tanzania,TZA001,TZA,Africa,"Displacement,Drought",Country level,Yes,Aggregated,,,
Tanzania,International Displacement in Tanzania,TZA002,TZA,Africa,Displacement,Refugees,No,Individual,,,
Tanzania,Food Security Crisis in North-East Tanzania,TZA003,TZA,Africa,Drought,Food security in North-East,No,Individual,,,
Uganda,International Displacement in Uganda,UGA005,UGA,Africa,Displacement,Refugees,Yes,Individual,,,
Ukraine,Russia-Ukraine conflict,UKR002,UKR,Europe,"Conflict,Displacement",Russia-Ukraine conflict,Yes,Individual,,,
Venezuela,Complex crisis in Venezuela,VEN001,VEN,Americas,"Socio-political,Violence,Floods",Complex crisis,Yes,Individual,,,
Yemen,Conflict in Yemen,YEM001,YEM,Middle east,Conflict,Complex crisis,Yes,Individual,,,
Yemen,Mixed migration flows in Yemen,YEM002,YEM,Middle east,Displacement,Mixed Migration,No,Individual,,,
Zambia,Drought in Zambia,ZMB002,ZMB,Africa,Drought,Drought,Yes,Individual,,,
Zimbabwe,Complex crisis in Zimbabwe,ZWE001,ZWE,Africa,"Socio-political,Drought",Complex crisis,Yes,Individual,,,
