,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
NIC001,602,359,980,359,245,700,700,700,980,980,980,114,114,114,108,114,114,114,114,114,673.8
NIC002,304,304,245,304,304,245,245,304,304,304,304,108,108,108,108,108,108,108,108,108,266.7
PAK001,143,15,15,15,15,15,15,15,15,15,966,111,111,111,111,111,111,111,111,111,119.7
PAK004,864,864,946,610,15,673,946,946,946,946,946,111,111,111,111,111,111,111,111,111,708.5
PER002,602,602,245,245,359,245,244,244,244,244,958,121,121,121,121,121,121,121,121,121,314.9
PHL003,671,66,2,2,66,2,211,2,211,211,671,121,121,121,121,121,121,121,121,121,149.9
PRK001,191,191,191,105,10,549,549,549,549,549,976,123,123,123,123,123,123,123,123,123,415
PSE002,215,215,215,15,15,92,92,92,92,92,966,120,120,120,120,120,120,120,120,120,179.1
REG001,490,188,188,188,188,188,188,188,188,188,883,111,111,111,111,111,111,111,111,111,249.8
REG002,602,245,245,245,671,245,245,245,245,245,884,107,107,107,107,107,107,107,107,107,337.7
REG003,682,682,359,682,191,682,889,889,889,889,889,111,111,111,111,111,111,111,111,111,647
REG004,214,15,15,15,304,15,15,15,15,15,863,111,111,111,111,111,111,111,111,111,138.3
REG006,15,15,15,15,15,15,15,15,15,15,866,111,111,111,111,111,111,111,111,111,109.7
REG007,888,888,888,888,183,888,888,888,888,888,888,112,112,112,112,112,112,112,112,112,739.9
REG008,888,888,888,888,183,888,888,888,888,888,888,112,112,112,112,112,112,112,112,112,739.9
REG011,199,199,199,199,191,199,199,199,199,199,199,112,112,112,112,112,112,112,112,112,189.5
REG012,18,18,18,18,18,18,18,18,18,18,18,109,109,109,109,109,109,109,109,109,27.1
REG013,309,246,246,246,330,330,330,330,330,330,330,113,113,113,113,113,113,113,113,113,291.5
RWA002,958,244,244,244,335,244,244,244,244,244,958,111,111,111,111,111,111,111,111,111,311.2
SDN001,94,94,94,17,17,94,94,94,94,94,94,116,116,116,116,116,116,116,116,116,80.8
SDN005,94,94,94,17,17,17,17,17,17,17,17,116,116,116,116,116,116,116,116,116,34.6
SDN006,17,17,17,17,17,17,17,17,17,17,17,116,116,116,116,116,116,116,116,116,26.9
SDN007,94,94,94,17,17,17,17,17,17,17,94,116,116,116,116,116,116,116,116,116,42.3
SDN008,153,66,17,17,17,66,66,66,66,66,153,116,116,116,116,116,116,116,116,116,65
SEN002,360,244,244,658,980,244,244,244,244,244,980,113,113,113,113,113,113,113,113,113,419.5
SLV001,358,359,359,359,245,245,245,245,245,359,960,119,119,119,119,120,120,119,119,119,338.1
SOM001,710,190,190,190,190,190,190,190,190,190,973,120,120,120,120,120,120,120,120,120,261.3
SOM002,129,129,129,129,129,129,129,129,129,129,129,119,119,119,119,119,119,119,119,119,128
SSD001,825,793,793,220,305,220,220,220,220,220,825,119,119,119,119,119,119,119,119,119,336.2
SWZ001,81,81,81,595,18,81,81,81,81,81,81,113,113,113,113,113,113,113,113,113,129.3
SYR001,215,215,215,92,15,92,92,92,92,92,974,120,120,120,120,120,120,120,120,120,187.6
TCD001,282,188,282,188,188,282,282,282,282,282,282,112,112,112,112,112,112,112,112,112,246.2
TCD003,958,188,188,188,188,350,350,350,350,350,958,112,112,112,112,112,112,112,112,112,338.4
TCD004,555,555,555,188,958,555,555,555,555,555,958,112,112,112,112,112,112,112,112,112,554.6
TCD005,555,555,555,188,188,555,555,555,555,555,958,111,111,111,111,111,111,111,111,111,477.5
TCD006,958,555,555,958,188,428,428,428,428,428,700,111,111,111,111,111,111,111,111,111,465.2
THA001,793,107,107,107,219,245,245,107,245,245,960,122,122,122,122,122,122,122,122,122,260.2
THA002,793,793,793,793,219,549,549,549,549,549,960,122,122,122,122,122,122,122,122,122,563.2
THA003,678,245,107,107,245,245,245,107,245,245,960,122,122,122,122,122,122,122,122,122,262.8
TTO002,945,671,916,916,305,359,602,602,602,602,671,115,115,115,115,116,115,115,115,115,569
TUN002,366,477,477,477,56,958,958,958,958,958,958,116,116,116,116,116,116,116,116,116,687.4
TUR001,958,958,15,15,15,15,15,15,15,15,958,113,113,113,113,113,113,113,113,113,119.1
TUR002,958,918,15,15,958,15,15,15,15,15,958,113,113,113,113,113,113,113,113,113,213.4
TUR003,958,958,15,15,15,15,15,15,15,15,958,113,113,113,113,113,113,113,113,113,119.1
TUR004,958,958,958,958,15,958,958,958,958,958,958,113,113,113,113,113,113,113,113,113,779.2
TZA002,81,81,81,81,18,81,81,81,81,81,81,122,122,122,122,122,122,122,122,122,78.8
UGA005,671,13,13,13,482,13,13,13,13,13,430,111,111,111,111,111,111,111,111,111,111.4
UKR002,958,549,549,199,183,199,199,199,199,199,549,123,123,123,123,123,123,123,123,123,259.8
VEN001,358,245,245,245,602,245,245,245,329,329,825,113,113,113,113,114,114,113,113,113,342.3
YEM001,1,1,1,1,1,1,1,1,1,1,976,106,106,106,106,106,106,106,106,106,109
YEM002,1,1,1,1,1,2,2,2,2,2,946,106,106,106,106,106,106,106,106,106,106.5
ZMB002,18,18,18,762,18,18,18,18,18,18,18,114,114,114,114,114,114,114,114,114,102
ZWE001,85,85,85,85,18,85,85,85,85,85,85,123,123,123,123,123,123,123,123,123,82.1
