id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_start_date,event_end_date,category,subcategory,type,subtype,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
162292.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,591,2024-09-23 00:00:00,2024-09-23 00:00:00,2024-09-23 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/troie-zahyblykh-10-poranenykh-zokrema-dytyna-politsiia-zadokumentuvala-naslidky-udariv-rosii-po-donechchyni,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-23T10:00:56.044030Z,"Ukraine: 591 displacements (evacuated), 23 September - 23 September. According to the National Police of Ukraine, 591 people have been evacuated in Donetsk Oblast on 23 September due to military operations.",https://www.npu.gov.ua/news/troie-zahyblykh-10-poranenykh-zokrema-dytyna-politsiia-zadokumentuvala-naslidky-udariv-rosii-po-donechchyni,Conflict
162835.0,Ukraine,UKR,50.31657,37.419029,"[50.31657, 37.419029]",Recommended figure,Conflict,more than or equal to,3,2024-09-23 00:00:00,2024-09-23 00:00:00,2024-09-23 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/na-kharkivshchyni-cherez-vorozhi-udary-zahynula-tsyvilna-zhinka-shche-piatero-liudei-poraneni-slidchi-zadokumentuvaly-naslidky-voiennykh-zlochyniv,"Riznykove, Vovchansk Raion, Kharkiv Oblast, Ukraine","50.31657, 37.419029",County/City/town/Village/Woreda (ADM3),Origin,Unknown,2024-09-26T14:39:17.299896Z,"Ukraine: 3 displacements (destroyed housing), 23 September - 23 September. According to the National Police of Ukraine, a residential building was destroyed in Riznykove (Kharkiv Oblast) on September 23 due to military operations.",https://www.npu.gov.ua/news/na-kharkivshchyni-cherez-vorozhi-udary-zahynula-tsyvilna-zhinka-shche-piatero-liudei-poraneni-slidchi-zadokumentuvaly-naslidky-voiennykh-zlochyniv,Conflict
162825.0,Ukraine,UKR,47.85334,35.186378,"[47.85334, 35.186378]",Recommended figure,Conflict,total,3,2024-09-23 00:00:00,2024-09-23 00:00:00,2024-09-23 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/vnaslidok-masovanoho-obstrilu-zaporizhzhia-zahynula-liudyna-shche-chetvero-poraneni-politsiia-dokumentuie-naslidky-voiennoho-zlochynu-rosiian,"Zaporizhia Municipality, Zaporizhia Oblast, Ukraine","47.85334, 35.186378",District/Zone/Department (ADM2),Origin,Unknown,2024-09-26T14:18:41.005190Z,"Ukraine: 3 displacements (destroyed housing), 23 September - 23 September. According to the National Police of Ukraine, a house was destroyed in Zaporizhia Municipality on September 23 due to military operations.",https://www.npu.gov.ua/news/vnaslidok-masovanoho-obstrilu-zaporizhzhia-zahynula-liudyna-shche-chetvero-poraneni-politsiia-dokumentuie-naslidky-voiennoho-zlochynu-rosiian,Conflict
162291.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,600,2024-09-22 00:00:00,2024-09-22 00:00:00,2024-09-22 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/troie-meshkantsiv-donechchyny-zahynuly-vnaslidok-rosiiskykh-atak-shche-12-poraneni-zokrema-dytyna-politsiia-zadokumentuvala-naslidky,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-23T09:59:32.501565Z,"Ukraine: 600 displacements (evacuated), 22 September - 22 September. According to the National Police of Ukraine, 600 people have been evacuated in Donetsk Oblast on 22 September due to military operations.",https://www.npu.gov.ua/news/troie-meshkantsiv-donechchyny-zahynuly-vnaslidok-rosiiskykh-atak-shche-12-poraneni-zokrema-dytyna-politsiia-zadokumentuvala-naslidky,Conflict
162470.0,Ukraine,UKR,49.99028,36.230389,"[49.99028, 36.230389]",Recommended figure,Conflict,total,68,2024-09-22 00:00:00,2024-09-22 00:00:00,2024-09-22 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,State Emergency Service of Ukraine (SESU),https://t.me/dsns_telegram/32909,"Kharkiv, Kharkiv city rada, Kharkiv Oblast, Ukraine","49.99028, 36.230389",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2024-09-23T15:11:15.720799Z,"Ukraine: 68 displacements (evacuated), 22 September - 22 September. According to the State Emergency Service of Ukraine (SESU), 68 people were evacuated in Kharkiv on 22 September due to military operations.",https://t.me/dsns_telegram/32909,Conflict
162336.0,Ukraine,UKR,47.85334,35.186378,"[47.85334, 35.186378]",Recommended figure,Conflict,more than or equal to,2,2024-09-22 00:00:00,2024-09-22 00:00:00,2024-09-22 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,State Emergency Service of Ukraine (SESU),https://t.me/dsns_telegram/32932,"Zaporizhzhia, Zaporizhia Municipality, Zaporizhia Oblast, Ukraine","47.85334, 35.186378",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2024-09-23T11:40:14.249443Z,"Ukraine: 2 displacements (evacuated), 22 September - 22 September. According to the State Emergency Service of Ukraine (SESU), people were evacuated in Zaporizhzhia on September 22 due to military operations.",https://t.me/dsns_telegram/32932,Conflict
162558.0,Ukraine,UKR,51.237358,33.808262,"[51.237358, 33.808262]",Recommended figure,Conflict,total,5,2024-09-21 00:00:00,2024-09-21 00:00:00,2024-09-21 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,State Emergency Service of Ukraine (SESU),https://t.me/dsns_telegram/32901,"Sumy Oblast, Ukraine","51.237358, 33.808262",State/Region/Province (ADM1),Origin,Unknown,2024-09-24T08:54:18.108284Z,"Ukraine: 5 displacements (destroyed housing), 21 September - 21 September. According to the State Emergency Service of Ukraine (SESU), 2 houses were destroyed in Sumy Oblast on September 21 due to military operations.",https://t.me/dsns_telegram/32901,Conflict
162468.0,Ukraine,UKR,49.741331,37.303282,"[49.741331, 37.303281999999996]",Recommended figure,Conflict,total,22,2024-09-21 00:00:00,2024-09-21 00:00:00,2024-09-21 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/postrazhdala-21-liudyna-u-tomu-chysli-troie-ditei-slidchi-kharkivshchyny-zadokumentuvaly-naslidky-voiennykh-zlochyniv-rf,"Chuhuiv Raion, Kharkiv Oblast, Ukraine; Kupiansk Raion, Kharkiv Oblast, Ukraine","49.807861, 36.772362; 49.674801, 37.834202",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin,Displacement without preventive evacuations reported,2024-09-23T15:07:03.139430Z,"Ukraine: 22 displacements (evacuated), 21 September - 21 September. According to the National Police of Ukraine, 22 people were evacuated from Kupiansk and Chuhuiv Raion on September 21 due to military operations.",https://www.npu.gov.ua/news/postrazhdala-21-liudyna-u-tomu-chysli-troie-ditei-slidchi-kharkivshchyny-zadokumentuvaly-naslidky-voiennykh-zlochyniv-rf,Conflict
162376.0,Ukraine,UKR,49.99028,36.230389,"[49.99028, 36.230389]",Recommended figure,Conflict,total,80,2024-09-21 00:00:00,2024-09-21 00:00:00,2024-09-21 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/voroh-potsilyv-po-bahatopoverkhivtsi-u-kharkovi-postrazhdaly-myrni-meshkantsi-politsiia-dokumentuie-zlochyn-ta-nadaie-dopomohu-hromadianam,"Kharkiv, Kharkiv city rada, Kharkiv Oblast, Ukraine","49.99028, 36.230389",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2024-09-23T12:17:54.505838Z,"Ukraine: 80 displacements (evacuated), 21 September - 21 September. According to the National Police of Ukraine, 80 people were evacuated in the Shevchenkiv district of Kharkiv on September 21 due to military operations.",https://www.npu.gov.ua/news/voroh-potsilyv-po-bahatopoverkhivtsi-u-kharkovi-postrazhdaly-myrni-meshkantsi-politsiia-dokumentuie-zlochyn-ta-nadaie-dopomohu-hromadianam,Conflict
162290.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,757,2024-09-21 00:00:00,2024-09-21 00:00:00,2024-09-21 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/17-poranenykh-ta-140-ruinuvan-za-dobu-politsiia-donechchyny-zadokumentuvala-naslidky-rosiiskykh-udariv-po-tsyvilnomu-naselenniu,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-23T09:58:20.588740Z,"Ukraine: 757 displacements (evacuated), 21 September - 21 September. According to the National Police of Ukraine, 757 people have been evacuated in Donetsk Oblast on 21 September due to military operations.",https://www.npu.gov.ua/news/17-poranenykh-ta-140-ruinuvan-za-dobu-politsiia-donechchyny-zadokumentuvala-naslidky-rosiiskykh-udariv-po-tsyvilnomu-naselenniu,Conflict
162334.0,Ukraine,UKR,47.562408,35.78553,"[47.562408, 35.78553]",Recommended figure,Conflict,total,1,2024-09-20 00:00:00,2024-09-20 00:00:00,2024-09-20 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/khaty-horiat-liudei-vbyvaie-zhyteli-pryfrontovykh-sil-lymanshchyny-evakuiuiutsia-za-dopomohoiu-hrupy-bilyi-ianhol,"Оріхів, Orikhiv Raion, Zaporizhia Oblast, Ukraine","47.562408, 35.78553",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2024-09-23T11:32:30.822735Z,"Ukraine: 1 displacement (evacuated), 20 September - 20 September. According to the National Police of Ukraine, 1 person was evacuated from the outskirts of Orikhov (Оріхів) in Zaporizhia Oblast on September 20 due to military operations.",https://www.npu.gov.ua/news/khaty-horiat-liudei-vbyvaie-zhyteli-pryfrontovykh-sil-lymanshchyny-evakuiuiutsia-za-dopomohoiu-hrupy-bilyi-ianhol,Conflict
162289.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,731,2024-09-20 00:00:00,2024-09-20 00:00:00,2024-09-20 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/rosiiany-vbyly-trokh-zhyteliv-donechchyny-shche-visim-zaznaly-poranen,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-23T09:56:51.148092Z,"Ukraine: 731 displacements (evacuated), 20 September - 20 September. According to the National Police of Ukraine, 731 people have been evacuated in Donetsk Oblast on 20 September due to military operations.",https://www.npu.gov.ua/news/rosiiany-vbyly-trokh-zhyteliv-donechchyny-shche-visim-zaznaly-poranen,Conflict
162469.0,Ukraine,UKR,49.741331,37.303282,"[49.741331, 37.303281999999996]",Recommended figure,Conflict,total,45,2024-09-20 00:00:00,2024-09-20 00:00:00,2024-09-20 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/cherez-obstrily-rosiian-na-kharkivshchyni-ie-zahybli-ta-postrazhdali-tsyvilni-zhyteli-slidchi-zadokumentuvaly-naslidky-voiennykh-zlochyniv,"Chuhuiv Raion, Kharkiv Oblast, Ukraine; Kupiansk Raion, Kharkiv Oblast, Ukraine","49.807861, 36.772362; 49.674801, 37.834202",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin,Displacement without preventive evacuations reported,2024-09-23T15:08:51.518639Z,"Ukraine: 45 displacements (evacuated), 20 September - 20 September. According to the National Police of Ukraine, 45 people were evacuated from Kupiansk and Chuhuiv Raion on September 20 due to military operations.",https://www.npu.gov.ua/news/cherez-obstrily-rosiian-na-kharkivshchyni-ie-zahybli-ta-postrazhdali-tsyvilni-zhyteli-slidchi-zadokumentuvaly-naslidky-voiennykh-zlochyniv,Conflict
162288.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,730,2024-09-19 00:00:00,2024-09-19 00:00:00,2024-09-19 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/desiatero-poranenykh-za-dobu-politsiia-donechchyny-zadokumentuvala-voienni-zlochyny-rosii,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-23T09:55:29.543170Z,"Ukraine: 730 displacements (evacuated), 19 September - 19 September. According to the National Police of Ukraine, 730 people have been evacuated in Donetsk Oblast on 19 September due to military operations.",https://www.npu.gov.ua/news/desiatero-poranenykh-za-dobu-politsiia-donechchyny-zadokumentuvala-voienni-zlochyny-rosii,Conflict
162467.0,Ukraine,UKR,49.741331,37.303282,"[49.741331, 37.303281999999996]",Recommended figure,Conflict,total,31,2024-09-19 00:00:00,2024-09-19 00:00:00,2024-09-19 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/vnaslidok-vorozhykh-obstriliv-kharkivshchyny-postrazhdaly-semero-liudei-politsiia-zadokumentuvala-naslidky-voiennykh-zlochyniv-rf,"Chuhuiv Raion, Kharkiv Oblast, Ukraine; Kupiansk Raion, Kharkiv Oblast, Ukraine","49.807861, 36.772362; 49.674801, 37.834202",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin,Displacement without preventive evacuations reported,2024-09-23T15:05:32.823774Z,"Ukraine: 31 displacements (evacuated), 19 September - 19 September. According to the National Police of Ukraine, 31 people were evacuated from Kupiansk and Chuhuiv Raion on September 19 due to military operations.",https://www.npu.gov.ua/news/vnaslidok-vorozhykh-obstriliv-kharkivshchyny-postrazhdaly-semero-liudei-politsiia-zadokumentuvala-naslidky-voiennykh-zlochyniv-rf,Conflict
162335.0,Ukraine,UKR,47.703671,35.436062,"[47.703671, 35.436062]",Recommended figure,Conflict,more than or equal to,5,2024-09-19 00:00:00,2024-09-19 00:00:00,2024-09-19 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,State Emergency Service of Ukraine (SESU),https://t.me/dsns_telegram/32768,"Yulivka, Zaporizhia Raion, Zaporizhia Oblast, Ukraine","47.703671, 35.436062",County/City/town/Village/Woreda (ADM3),Origin,Unknown,2024-09-23T11:37:07.489384Z,"Ukraine: 5 displacements (destroyed housing), 19 September - 19 September. According to the State Emergency Service of Ukraine (SESU), houses were destroyed in Yulivka (Zaporizhia Oblast) on September 19 due to military operations.",https://t.me/dsns_telegram/32768,Conflict
