,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Annual Expected Exposed People to Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone Surge,Total affected by Drought,Frequency of Drought events,Agriculture Drought probability,GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,National Power Conflict Intensity (Highly Violent),Subnational Conflict Intensity (Highly Violent),Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Development Aid (ODA),Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,One-year-olds fully immunized against measles,Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,Health expenditure per capita,Maternal Mortality Rate,Malaria death rate,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Domestic Food Price Level Index,Domestic Food Price Volatility Index,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult liteacy rate,Internet users,Mobile cellular subscriptions,Road lenght,Improved sanitation facilities (% of population with access),Improved water source (% of population with access),GDP per capita PPP int USD (Estimated),Total Population,Total Population (GHS-POP),Land area (sq. km),
Cabo Verde,CPV,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,2011,2014,2014,2014,2014,2015,2012,x,2007,2014,2015,2016,x,x,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Cambodia,KHM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2014,2012,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2007,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Cameroon,CMR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2009,2014,2014,2014,2014,2015,2012,2014,2007,2014,2015,2016,2016,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Canada,CAN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Central African Republic,CAF,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2009,2014,2014,2014,2014,2015,2012,2014,2008,2014,2015,2016,2016,2015,2015,2014,2014,x,x,x,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Chad,TCD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,x,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2016,2015,2014,2014,x,x,x,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Chile,CHL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
China,CHN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2010,2012,2014,2014,2011,2014,2015,2012,2014,2011,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Colombia,COL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2010,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Comoros,COM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,x,2014,2014,x,2014,2015,2012,x,2004,2014,2015,2016,x,2015,2015,2014,2014,x,x,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Congo,COG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2011,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2016,2015,2014,2014,2014,2014,x,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Congo DR,COD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2013,x,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2015,2016,2015,2014,2014,x,x,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Costa Rica,CRI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2008,2013,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Côte d'Ivoire,CIV,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,2008,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Croatia,HRV,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,2011,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Cuba,CUB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,2014,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,2011,2014,2015,2012,2012,2014,2014,2014,2015,2015,2013,2015,2014,2014,
Cyprus,CYP,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Czech Republic,CZE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2011,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Denmark,DNK,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Djibouti,DJI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,x,2015,2012,2010,2014,2014,2014,2014,2015,2012,x,2012,2014,2015,2016,x,2016,2015,2014,2014,x,x,2011,2014,2015,2012,x,2014,2014,2014,2015,2015,2013,2015,2014,2014,
Dominica,DMA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,2011,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,2015,2012,x,2014,2014,2014,2007,2007,2015,2015,2014,2014,
Dominican Republic,DOM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2013,2012,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Ecuador,ECU,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2012,2011,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Egypt,EGY,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,x,2014,2008,2014,2015,2016,2015,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
El Salvador,SLV,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2008,2010,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2009,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Equatorial Guinea,GNQ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2010,x,2014,2014,2014,2014,2015,2012,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,2013,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Eritrea,ERI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2010,x,2014,2014,2014,2014,2015,2012,x,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,2015,2012,2013,2014,2014,2014,2015,2015,2011,2011,2014,2014,
Estonia,EST,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Ethiopia,ETH,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,2015,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Fiji,FJI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2004,2010,2014,2014,2014,2014,2015,x,2014,2008,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,x,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Finland,FIN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
France,FRA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Gabon,GAB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,x,2014,2014,2014,2014,2015,2012,2014,2005,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Gambia,GMB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2013,2010,2014,2014,2014,2014,2015,2012,2014,2003,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2014,2015,2014,2014,
Georgia,GEO,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2005,2016,2013,2014,2014,2015,2009,2013,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Germany,DEU,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2005,2012,2014,2014,x,2014,2015,x,2014,2011,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Ghana,GHA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2005,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Greece,GRC,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2010,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Grenada,GRD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,x,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,2014,x,2011,2014,x,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Guatemala,GTM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2009,2009,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Guinea,GIN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,x,2012,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2015,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Guinea-Bissau,GNB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,x,2010,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Guyana,GUY,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,x,2014,2015,2016,x,2015,2015,2014,2014,x,x,x,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Haiti,HTI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2014,2014,2014,2014,2014,2015,2012,2014,2012,2014,2015,2016,2016,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2006,2014,2014,2014,2015,2015,2015,2015,2014,2014,
